PCE,below18,above18
4.694997,4.694997,18.009738
4.992847,4.992847,18.013249
5.333247,5.333247,18.020883
7.290547,7.290547,18.023492
7.4612,7.4612,18.030792
7.588067,7.588067,18.03666
7.801147,7.801147,18.038377
7.928797,7.928797,18.04181
7.987108,7.987108,18.075779
8.187471,8.187471,18.093413
8.311747,8.311747,18.094732
8.430004,8.430004,18.09721
8.439397,8.439397,18.099522
8.439397,8.439397,18.101387
8.524497,8.524497,18.106355
8.652275,8.652275,18.108518
8.795681,8.795681,18.110504
8.867293,8.867293,18.113725
9.036373,9.036373,18.116551
9.041886,9.041886,18.117887
9.10795,9.10795,18.133513
9.196703,9.196703,18.136421
9.205297,9.205297,18.139588
9.246013,9.246013,18.142773
9.332701,9.332701,18.146159
9.484155,9.484155,18.146218
9.511751,9.511751,18.151733
9.688342,9.688342,18.16725
9.709621,9.709621,18.1678
9.749737,9.749737,18.171138
9.767837,9.767837,18.172801
9.886097,9.886097,18.1777
9.97532,9.97532,18.185618
10.021197,10.021197,18.186708
10.098847,10.098847,18.193967
10.170883,10.170883,18.19975
10.203142,10.203142,18.205656
10.250473,10.250473,18.217445
10.252093,10.252093,18.228134
10.260432,10.260432,18.237125
10.397914,10.397914,18.245883
10.451571,10.451571,18.254753
10.458668,10.458668,18.256158
10.464666,10.464666,18.257145
10.466665,10.466665,18.262364
10.484123,10.484123,18.264165
10.489506,10.489506,18.273183
10.51937,10.51937,18.276935
10.530312,10.530312,18.286588
10.601719,10.601719,18.28897
10.627299,10.627299,18.292294
10.637756,10.637756,18.295939
10.637894,10.637894,18.300247
10.652913,10.652913,18.317645
10.673946,10.673946,18.332101
10.782736,10.782736,18.332586
10.826139,10.826139,18.34163
10.880237,10.880237,18.342485
10.886985,10.886985,18.349785
10.896923,10.896923,18.354337
10.96805,10.96805,18.355004
10.992257,10.992257,18.35618
11.008233,11.008233,18.358009
11.154011,11.154011,18.363531
11.172545,11.172545,18.37987
11.187147,11.187147,18.381928
11.257299,11.257299,18.383575
11.262276,11.262276,18.38807
11.277298,11.277298,18.400414
11.335289,11.335289,18.401202
11.338158,11.338158,18.40989
11.407503,11.407503,18.423114
11.473464,11.473464,18.426192
11.487053,11.487053,18.426747
11.529426,11.529426,18.445886
11.564829,11.564829,18.445891
11.580984,11.580984,18.448119
11.603091,11.603091,18.451427
11.643565,11.643565,18.453926
11.649526,11.649526,18.454201
11.668726,11.668726,18.470713
11.677145,11.677145,18.475098
11.741127,11.741127,18.494545
11.743682,11.743682,18.495521
11.771992,11.771992,18.497354
11.846964,11.846964,18.499365
11.865018,11.865018,18.501446
11.892076,11.892076,18.503783
11.897867,11.897867,18.512061
11.942107,11.942107,18.51595
11.972701,11.972701,18.516157
12.009204,12.009204,18.52131
12.010825,12.010825,18.521957
12.278677,12.278677,18.53035
12.311104,12.311104,18.535284
12.31584,12.31584,18.536388
12.318921,12.318921,18.550304
12.33327,12.33327,18.551447
12.349731,12.349731,18.556001
12.377332,12.377332,18.556044
12.403427,12.403427,18.556878
12.436574,12.436574,18.559027
12.471033,12.471033,18.563388
12.500767,12.500767,18.571984
12.506384,12.506384,18.573714
12.506721,12.506721,18.577835
12.519273,12.519273,18.580504
12.523038,12.523038,18.583512
12.550374,12.550374,18.59289
12.56684,12.56684,18.606669
12.59707,12.59707,18.639562
12.601358,12.601358,18.644886
12.607193,12.607193,18.647351
12.615122,12.615122,18.684876
12.617299,12.617299,18.689222
12.63206,12.63206,18.693793
12.633032,12.633032,18.70291
12.6753,12.6753,18.707813
12.700969,12.700969,18.709938
12.702834,12.702834,18.743376
12.715816,12.715816,18.743799
12.724752,12.724752,18.745359
12.725949,12.725949,18.749887
12.732913,12.732913,18.758509
12.738515,12.738515,18.764681
12.744386,12.744386,18.77024
12.758012,12.758012,18.772926
12.772443,12.772443,18.776537
12.781565,12.781565,18.801674
12.782886,12.782886,18.806392
12.815302,12.815302,18.816217
12.819828,12.819828,18.81755
12.823898,12.823898,18.819707
12.848396,12.848396,18.823734
12.850933,12.850933,18.827794
12.854743,12.854743,18.83303
12.87214,12.87214,18.842851
12.875456,12.875456,18.854916
12.88543,12.88543,18.86227
12.889449,12.889449,18.86622
12.90407,12.90407,18.867875
12.934857,12.934857,18.872663
12.958489,12.958489,18.877213
12.983246,12.983246,18.880848
13.009105,13.009105,18.889908
13.025094,13.025094,18.89308
13.03384,13.03384,18.898039
13.047301,13.047301,18.899688
13.048613,13.048613,18.911394
13.092444,13.092444,18.933147
13.107747,13.107747,18.936541
13.117697,13.117697,18.973424
13.130493,13.130493,18.980714
13.131513,13.131513,18.988866
13.132013,13.132013,18.991252
13.150995,13.150995,18.991844
13.157652,13.157652,19.001571
13.163174,13.163174,19.028125
13.174795,13.174795,19.028334
13.184565,13.184565,19.029923
13.194523,13.194523,19.032939
13.20364,13.20364,19.054133
13.203893,13.203893,19.061915
13.228413,13.228413,19.073635
13.235278,13.235278,19.086734
13.254639,13.254639,19.099779
13.291313,13.291313,19.117729
13.292173,13.292173,19.134691
13.309255,13.309255,19.139146
13.311087,13.311087,19.140342
13.312653,13.312653,19.155931
13.330103,13.330103,19.156876
13.338537,13.338537,19.157762
13.35072,13.35072,19.164091
13.393114,13.393114,19.170555
13.403965,13.403965,19.179257
13.418736,13.418736,19.196478
13.421619,13.421619,19.207574
13.431325,13.431325,19.21012
13.431564,13.431564,19.213316
13.446731,13.446731,19.241373
13.451854,13.451854,19.249915
13.464349,13.464349,19.261598
13.469378,13.469378,19.268835
13.483876,13.483876,19.271642
13.49333,13.49333,19.277336
13.516658,13.516658,19.307154
13.527549,13.527549,19.324658
13.54117,13.54117,19.347186
13.541536,13.541536,19.41706
13.542613,13.542613,19.430885
13.543047,13.543047,19.455655
13.55504,13.55504,19.498124
13.561624,13.561624,19.503686
13.562187,13.562187,19.515038
13.571343,13.571343,19.517014
13.576437,13.576437,19.517747
13.584949,13.584949,19.540979
13.594363,13.594363,19.543858
13.597809,13.597809,19.546962
13.612759,13.612759,19.552461
13.618103,13.618103,19.572434
13.619176,13.619176,19.577608
13.631415,13.631415,19.582466
13.655899,13.655899,19.598379
13.659538,13.659538,19.620398
13.669118,13.669118,19.638328
13.677729,13.677729,19.664179
13.74715,13.74715,19.692547
13.760772,13.760772,19.695423
13.781961,13.781961,19.714061
13.782677,13.782677,19.720722
13.784582,13.784582,19.72525
13.788479,13.788479,19.743476
13.790236,13.790236,19.752816
13.80303,13.80303,19.754743
13.803216,13.803216,19.768981
13.808779,13.808779,19.807383
13.819154,13.819154,19.845494
13.839396,13.839396,19.892798
13.840049,13.840049,19.923068
13.849406,13.849406,19.932629
13.868992,13.868992,19.937588
13.875656,13.875656,19.941569
13.892705,13.892705,19.943676
13.893822,13.893822,19.946905
13.895249,13.895249,19.947291
13.92441,13.92441,19.953763
13.929642,13.929642,19.976604
13.951717,13.951717,19.99816
13.955375,13.955375,20.006816
13.973496,13.973496,20.010695
14.004023,14.004023,20.04888
14.022195,14.022195,20.058783
14.031299,14.031299,20.061342
14.033086,14.033086,20.065991
14.046865,14.046865,20.069801
14.050054,14.050054,20.084393
14.061245,14.061245,20.122231
14.067491,14.067491,20.164922
14.073828,14.073828,20.168336
14.075264,14.075264,20.17523
14.076575,14.076575,20.182501
14.080692,14.080692,20.196145
14.083828,14.083828,20.203475
14.100473,14.100473,20.216963
14.10574,14.10574,20.26826
14.115905,14.115905,20.296491
14.119614,14.119614,20.360858
14.120104,14.120104,20.39159
14.127184,14.127184,20.477464
14.131567,14.131567,20.489488
14.146108,14.146108,20.526471
14.147247,14.147247,20.700323
14.15077,14.15077,20.701004
14.154443,14.154443,20.706804
14.157574,14.157574,20.717847
14.160211,14.160211,20.785929
14.164799,14.164799,20.842014
14.169477,14.169477,20.843265
14.171392,14.171392,20.866156
14.183004,14.183004,20.934679
14.198793,14.198793,20.967472
14.203493,14.203493,20.984753
14.212757,14.212757,21.012562
14.219344,14.219344,21.077419
14.225669,14.225669,21.085969
14.228319,14.228319,21.146162
14.232506,14.232506,21.183059
14.252064,14.252064,21.254194
14.262919,14.262919,21.262023
14.27671,14.27671,21.272851
14.28378,14.28378,21.480397
14.285562,14.285562,21.536969
14.287791,14.287791,21.538759
14.302078,14.302078,21.795155
14.306616,14.306616,21.832638
14.316641,14.316641,21.897753
14.321985,14.321985,21.956394
14.327606,14.327606,22.004729
14.332327,14.332327,22.141827
14.340907,14.340907,22.244967
14.343792,14.343792,22.375808
14.350947,14.350947,22.882837
14.353704,14.353704,
14.354369,14.354369,
14.362559,14.362559,
14.387557,14.387557,
14.416624,14.416624,
14.437976,14.437976,
14.444502,14.444502,
14.453848,14.453848,
14.463422,14.463422,
14.476318,14.476318,
14.483093,14.483093,
14.485427,14.485427,
14.497743,14.497743,
14.499367,14.499367,
14.50327,14.50327,
14.507763,14.507763,
14.511903,14.511903,
14.513767,14.513767,
14.52465,14.52465,
14.536341,14.536341,
14.537441,14.537441,
14.545336,14.545336,
14.558263,14.558263,
14.563091,14.563091,
14.564692,14.564692,
14.607477,14.607477,
14.612136,14.612136,
14.61304,14.61304,
14.615464,14.615464,
14.627093,14.627093,
14.628215,14.628215,
14.633095,14.633095,
14.634596,14.634596,
14.635882,14.635882,
14.638337,14.638337,
14.638623,14.638623,
14.651865,14.651865,
14.65715,14.65715,
14.658916,14.658916,
14.665711,14.665711,
14.665986,14.665986,
14.6696,14.6696,
14.670177,14.670177,
14.674965,14.674965,
14.683196,14.683196,
14.695438,14.695438,
14.6957,14.6957,
14.698493,14.698493,
14.707736,14.707736,
14.727964,14.727964,
14.738704,14.738704,
14.749,14.749,
14.754946,14.754946,
14.759588,14.759588,
14.762163,14.762163,
14.767862,14.767862,
14.773076,14.773076,
14.774996,14.774996,
14.775268,14.775268,
14.796708,14.796708,
14.798634,14.798634,
14.803078,14.803078,
14.808767,14.808767,
14.811807,14.811807,
14.823265,14.823265,
14.825271,14.825271,
14.84028,14.84028,
14.848258,14.848258,
14.850365,14.850365,
14.85125,14.85125,
14.856455,14.856455,
14.865477,14.865477,
14.865521,14.865521,
14.871116,14.871116,
14.877007,14.877007,
14.878794,14.878794,
14.884218,14.884218,
14.886835,14.886835,
14.890746,14.890746,
14.892432,14.892432,
14.893321,14.893321,
14.893831,14.893831,
14.897717,14.897717,
