,acc_term,acc_term_count
0,78,711
1,90,553
2,69,284
3,45,270
4,88,219
5,52,202
6,0,183
7,18,146
8,20,72
9,99,27
10,24,23
11,27,18
12,43,17
13,19,17
14,81,16
15,47,11
16,3,11
17,16,10
18,63,10
19,57,9
20,79,9
21,59,8
22,93,8
23,56,8
24,65,8
25,6,8
26,33,7
27,58,7
28,23,7
29,101,7
30,11,7
31,100,6
32,95,6
33,13,6
34,54,6
35,29,6
36,40,6
37,4,6
38,31,6
39,7,5
40,77,5
41,64,5
42,97,5
43,26,5
44,85,5
45,96,5
46,2,5
47,8,5
48,76,5
49,62,5
50,44,4
51,84,4
52,66,4
53,32,4
54,82,4
55,91,4
56,22,4
57,86,4
58,38,4
59,39,4
60,28,4
61,36,4
62,9,4
63,60,4
64,46,4
65,49,4
66,103,4
67,80,4
68,94,4
69,5,4
70,68,4
71,1,3
72,55,3
73,17,3
74,50,3
75,73,3
76,30,3
77,70,3
78,67,3
79,48,3
80,37,3
81,83,3
82,92,3
83,51,3
84,89,3
85,72,3
86,71,2
87,42,2
88,10,2
89,41,2
90,14,2
91,21,2
92,74,2
93,75,2
94,12,2
95,61,2
96,53,2
97,98,2
98,34,2
99,25,1
100,102,1
101,87,1
