gen,min_PCE, max_PCE, med_PCE, min_deltaHOMO,max_deltaHOMO,med_deltaHOMO,min_summedoscs,max_summedoscs,med_summedoscs
1,5.283686,13.581060,10.243429,0.110000,0.630000,0.250000,1.200029,5.618892,4.369268
2,6.780203,13.581060,11.352710,0.710000,0.630000,0.900000,0.432794,5.618892,3.166313
3,8.519721,13.581060,11.806778,0.500000,0.630000,0.660000,2.344970,5.618892,4.237677
4,6.674965,14.062166,12.311518,0.170000,0.590000,1.210000,2.024995,6.091880,2.904700
5,8.364390,14.368911,12.725335,0.290000,0.980000,0.420000,2.881077,5.109524,5.646361
6,8.574053,14.368911,13.380505,0.220000,0.980000,1.360000,3.249641,5.109524,3.217508
7,9.035106,14.368911,13.466572,0.220000,0.980000,0.720000,3.584466,5.109524,5.257644
8,9.068952,15.504562,13.622621,0.090000,1.060000,0.870000,4.010752,5.687048,4.907462
8,9.068952,15.504562,13.622621,0.090000,1.060000,0.870000,4.010752,5.687048,4.907462
8,9.068952,15.504562,13.622621,0.090000,1.060000,0.870000,4.010752,5.687048,4.907462
8,9.068952,15.504562,13.622621,0.090000,1.060000,0.870000,4.010752,5.687048,4.907462
8,9.068952,15.504562,13.622621,0.090000,1.060000,0.870000,4.010752,5.687048,4.907462
9,6.168389,15.504562,13.662888,0.280000,1.060000,0.600000,1.317206,5.687048,5.771017
10,10.325557,15.504562,13.797773,0.280000,1.060000,0.690000,4.336209,5.687048,5.590869
11,7.843697,15.550405,14.082097,1.100000,0.720000,0.400000,0.000000,6.770958,6.693464
12,7.191977,15.550405,14.547657,0.040000,0.720000,1.050000,2.802164,6.770958,5.023029
13,11.005499,15.550405,14.705195,0.970000,0.720000,1.060000,2.697859,6.770958,5.106535
14,4.269497,15.562219,14.753294,0.260000,0.870000,0.810000,0.000000,6.316029,5.913978
15,9.918885,15.841221,14.761810,0.230000,0.960000,0.430000,4.195380,6.240541,7.094381
16,9.769986,16.682092,14.816965,0.240000,1.180000,0.960000,4.056347,6.171384,5.496709
17,8.100554,18.200584,14.948039,0.220000,1.270000,0.700000,2.905779,6.996033,6.395311
18,6.861608,18.200584,15.039282,0.260000,1.270000,1.060000,1.882434,6.996033,5.349154
19,11.201584,18.200584,15.230055,0.460000,1.270000,0.920000,4.416186,6.996033,5.920304
20,7.503297,18.200584,15.406440,1.020000,1.270000,1.060000,0.000000,6.996033,5.615791
21,12.871900,18.200584,15.550405,0.460000,1.270000,0.720000,5.629196,6.996033,6.770958
22,11.872771,18.200584,15.650041,0.140000,1.270000,1.000000,5.892429,6.996033,5.978101
23,8.269197,18.454416,15.766996,1.200000,1.680000,0.980000,0.000000,5.913449,6.124836
24,7.503297,18.454416,16.262862,1.020000,1.680000,1.030000,0.000000,5.913449,6.330440
25,11.539666,18.919222,16.404347,0.680000,1.710000,1.020000,3.981895,6.158297,6.464089
25,11.539666,18.919222,16.404347,0.680000,1.710000,1.020000,3.981895,6.158297,6.464089
25,11.539666,18.919222,16.404347,0.680000,1.710000,1.020000,3.981895,6.158297,6.464089
25,11.539666,18.919222,16.404347,0.680000,1.710000,1.020000,3.981895,6.158297,6.464089
25,11.539666,18.919222,16.404347,0.680000,1.710000,1.020000,3.981895,6.158297,6.464089
26,8.269197,18.919222,16.678300,1.200000,1.710000,1.200000,0.000000,6.158297,6.106829
27,13.811460,18.919222,16.790169,0.530000,1.710000,1.180000,6.095217,6.158297,6.249871
28,9.738794,18.919222,17.065875,0.320000,1.710000,1.200000,3.786491,6.158297,6.388292
29,12.627206,18.919222,17.372321,0.280000,1.710000,1.320000,6.007705,6.158297,6.240033
30,10.484344,18.919222,17.533719,0.180000,1.710000,1.550000,4.760529,6.158297,5.646530
31,12.441744,18.919222,17.583191,0.170000,1.710000,1.600000,6.212925,6.158297,5.527955
32,9.644454,19.403978,17.646195,0.050000,1.550000,1.050000,4.552293,7.004744,7.273238
33,11.015508,19.403978,17.769741,0.080000,1.550000,1.570000,5.455273,7.004744,5.756133
34,7.545847,19.403978,17.800106,1.030000,1.550000,1.370000,0.000000,7.004744,6.396194
35,13.511917,19.403978,17.983996,0.110000,1.550000,1.270000,7.175505,7.004744,6.838743
36,7.375647,19.403978,18.200584,0.990000,1.550000,1.270000,0.000000,7.004744,6.996033
37,8.269197,19.403978,18.454416,1.200000,1.550000,1.680000,0.000000,7.004744,5.913449
38,13.267622,19.403978,18.476681,0.390000,1.550000,1.270000,6.132880,7.004744,7.196539
39,10.992397,19.403978,18.476681,1.840000,1.550000,1.270000,0.000000,7.004744,7.196539
40,13.194934,19.403978,18.476681,0.560000,1.550000,1.270000,5.554784,7.004744,7.196539
41,12.735065,19.403978,18.504018,0.130000,1.550000,1.750000,6.549541,7.004744,5.733167
41,12.735065,19.403978,18.504018,0.130000,1.550000,1.750000,6.549541,7.004744,5.733167
41,12.735065,19.403978,18.504018,0.130000,1.550000,1.750000,6.549541,7.004744,5.733167
42,12.369965,19.403978,18.504018,0.730000,1.550000,1.750000,4.430370,7.004744,5.733167
43,8.269197,19.403978,18.509771,1.200000,1.550000,1.710000,0.000000,7.004744,5.860947
44,7.545847,19.403978,18.509771,1.030000,1.550000,1.710000,0.000000,7.004744,5.860947
45,11.569380,19.403978,18.515539,0.230000,1.550000,1.440000,5.393997,7.004744,6.699450
46,9.656914,19.403978,18.515539,0.150000,1.550000,1.440000,4.252337,7.004744,6.699450
47,11.326609,19.403978,18.515539,0.220000,1.550000,1.440000,5.248593,7.004744,6.699450
48,12.343096,19.403978,18.515539,0.230000,1.550000,1.440000,5.955882,7.004744,6.699450
49,8.269197,19.403978,18.515539,1.200000,1.550000,1.440000,0.000000,7.004744,6.699450
50,11.912210,19.403978,18.544313,0.080000,1.550000,1.560000,6.106473,7.004744,6.349540
51,11.737014,19.748073,18.588984,0.710000,1.360000,1.770000,4.032511,7.841740,5.733070
52,11.346575,19.748073,18.594849,0.360000,1.360000,1.160000,4.830486,7.841740,7.622260
53,13.212983,19.748073,18.594849,0.510000,1.360000,1.160000,5.722394,7.841740,7.622260
54,11.539753,19.748073,18.663293,0.200000,1.360000,1.590000,5.465183,7.841740,6.343244
55,11.317257,19.748073,18.720528,0.110000,1.360000,1.440000,5.581707,7.841740,6.848317
56,11.999090,19.748073,18.720528,0.790000,1.360000,1.440000,3.975631,7.841740,6.848317
57,15.082897,19.748073,18.745712,0.380000,1.360000,1.730000,7.482063,7.841740,5.970491
58,13.497415,19.748073,18.720528,0.610000,1.360000,1.440000,5.619948,7.841740,6.848317
59,12.025026,19.748073,18.720528,0.880000,1.360000,1.440000,3.716361,7.841740,6.848317
60,10.210807,19.748073,18.720528,0.050000,1.360000,1.440000,4.963588,7.841740,6.848317
61,11.443212,19.748073,18.745712,0.230000,1.360000,1.730000,5.302371,7.841740,5.970491
62,14.477483,19.748073,18.720528,0.530000,1.360000,1.440000,6.578894,7.841740,6.848317
63,13.882175,19.748073,18.756757,1.020000,1.360000,1.760000,4.632446,7.841740,5.885810
64,10.172697,19.748073,18.756757,0.420000,1.360000,1.760000,3.792593,7.841740,5.885810
65,8.392604,19.748073,18.768543,0.050000,1.360000,1.200000,3.643179,7.841740,7.624798
66,10.628307,20.402224,18.834541,0.030000,1.400000,1.550000,5.328584,8.193194,6.591209
67,14.747702,20.402224,18.919222,0.740000,1.400000,1.710000,6.126221,8.193194,6.158297
68,13.803328,20.402845,18.919222,0.260000,1.540000,1.710000,6.923625,7.761037,6.158297
69,9.836198,20.402845,18.919222,0.120000,1.540000,1.710000,4.475237,7.761037,6.158297
70,12.568840,20.402845,18.919222,0.260000,1.540000,1.710000,6.027119,7.761037,6.158297
71,9.985814,20.402845,18.919222,0.470000,1.540000,1.710000,3.502373,7.761037,6.158297
72,9.385618,20.402845,18.919222,0.160000,1.540000,1.710000,4.024416,7.761037,6.158297
73,12.765951,20.402845,18.931256,0.430000,1.540000,1.500000,5.644956,7.761037,6.815948
74,11.598977,20.402845,18.931256,0.610000,1.540000,1.500000,4.241271,7.761037,6.815948
75,10.528191,20.402845,18.963928,0.500000,1.540000,1.560000,3.803554,7.761037,6.654271
