gen,filename,deltaHOMO,summedoscs,PCE,donor
199,275_70_5_178_47_13570,1.83,7.661389,21.499579,PBDB-T-SF
199,275_70_47_70_275_13031,1.24,9.226478,21.144257,PBDB-T-SF
199,275_70_5_47_756_13502,1.16,9.375392,21.008912,PBDB-T-SF
199,275_70_65_47_756_13502,1.23,9.154642,21.002788,PBDB-T-SF
199,278_206_47_6_278_13051,1.53,8.171335,20.925275,PBDB-T-SF
199,267_5_70_47_756_13502,1.27,8.797649,20.68141,PBDB-T-SF
199,275_227_47_70_275_13051,1.38,8.430496,20.64389,PBDB-T-SF
199,267_5_70_178_47_13570,1.8,7.124471,20.632593,PBDB-T-SF
199,275_206_47_227_275_13051,1.66,7.530626,20.596168,PBDB-T-SF
199,275_206_70_47_756_13502,1.18,8.977734,20.546436,PBDB-T-SF
199,275_206_5_47_756_13502,1.29,8.627166,20.531755,PBDB-T-SF
199,267_196_70_47_756_13502,1.23,8.800343,20.514919,PBDB-T-SF
199,275_70_47_65_275_13051,1.37,8.33226,20.466069,PBDB-T-SF
199,275_5_70_47_756_13502,1.16,8.976547,20.459702,PBDB-T-SF
183,275_143_70_47_756_13502,1.18,8.899659,20.438927,PBDB-T-SF
199,275_206_47_70_275_13051,1.23,8.728486,20.415972,PBDB-T-SF
183,275_206_178_47_275_13507,1.54,7.761037,20.402845,PBDB-T-SF
199,275_206_47_206_275_13031,1.4,8.193194,20.402224,PBDB-T-SF
181,275_70_47_5_756_13052,1.09,9.138354,20.38466,PBDB-T-SF
149,267_5_70_851_756_13502,1.13,8.904132,20.232337,PBDB-T-SF
157,275_70_122_47_756_13502,1.09,9.026254,20.230298,PBDB-T-SF
167,47_47_206_5_756_00132,1.39,8.095444,20.225072,PBDB-T-SF
157,275_206_178_47_278_13507,1.54,7.615915,20.203011,PBDB-T-SF
199,275_70_47_206_275_13051,1.29,8.375154,20.184734,PBDB-T-SF
147,290_70_47_70_290_13031,1.26,8.431536,20.134722,PBDB-T-SF
145,290_70_5_47_756_13502,1.29,8.321882,20.111378,PBDB-T-SF
152,267_5_5_70_47_13350,1.34,8.167241,20.111188,PBDB-T-SF
190,275_70_206_47_756_13502,1.15,8.751394,20.107116,PBDB-T-SF
181,275_5_114_47_756_13502,1.28,8.336553,20.089031,PBDB-T-SF
161,275_229_47_206_275_13051,1.32,8.209358,20.084083,PBDB-T-SF
144,275_206_6_47_756_13502,1.22,8.488082,20.042385,PBDB-T-SF
199,275_70_47_5_275_13051,1.13,8.764411,20.039941,PBDB-T-SF
158,275_70_133_47_756_13502,1.28,8.292844,20.028842,PBDB-T-SF
179,275_70_47_117_275_13051,1.15,8.684412,20.014881,PBDB-T-SF
