,SMILES,new name,old name
0,C12=CC(C#N)=C(C#N)C=C1C(=O)C(C2=C(C#N)C#N)=C,0atl,10atl
1,C1=c2c(nc3C(=O)C=CC(=O)c3n2)=C(S1),0ac,25a
2,C1=CC=C(C2C1N=C(C(=N2)F)F),1ac,25u
3,C12=CSC=C1C(=O)C(C2=C(C#N)C#N)=C,3atl,15atl
4,C1=NN=C(C2C1=NSN=2),2ac,6a
5,C1=C([N+](=O)[O-])C(C)=C(S1),3ac,8d
6,C1=C(C(=O)O)C(C#N)=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,6atl,11atl
7,C1=NOC(C=O)=C1,7atl,30utl
8,C1(F)=C(C(=O)O)C(F)=C(F)C(=C1F),8atl,6utl
9,C1C2=NSN=C2C(C3C1=NSN=3),4ac,18a
10,C1(F)=C(C#N)OC(C=O)=C1,10atl,31utl
11,C(=O)(N1C=NC=C1)N2C=CN=C2,11atl,37utl
12,C1=C(F)C(F)=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,12atl,1atl
13,C1=C([N+](=O)[O-])C(CO)=CC(=C1),13atl,40utl
14,C1=NC=C(N1C(=O)N2C=CN=C2),14atl,36utl
15,C1(=O)C2=C(F)SC=C2/C(=[N+](\[N+](=O)[O-])/C(=O)[O-])/C1=C,15atl,50utl
16,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),5ac,16a
17,C1(=O)C2=C(C=C(C(=C2F)F)F)C(=C(C#N)C#N)C1=C,17atl,21atl
18,C1(C(=O)C2=C(C1=C(C#N)C#N)C=CC3=C2C=CC=C3)=C,18atl,42utl
19,C12=CSC(Cl)=C1C(=O)C(C2=C(C#N)C#N)=C,19atl,34atl
20,C1=C(C)C(C)=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,20atl,22atl
21,C1=C(C#N)c2c(S1)sc3c2C(C#N)=C(S3),6ac,49u
22,C1(C)(C)C(=C(C(=C(C#N)C#N)O1)C#N),22atl,19utl
23,O1C(=NC(=C1)C=O),23atl,34utl
24,C1(C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Cl)=C,24atl,29atl
25,C1(C(=O)C2=C(/C/1=C/3\C(=O)C4=C(C3=O)C=CC=C4)C=CC=C2)=C,25atl,28atl
26,C1=CN=C(C2C1=NSN=2),7ac,17a
27,c1(=C(C#N)C#N)c2c(C=CC=C2)c(s1)=C,27atl,45utl
28,C1(C(=O)C2=C(C1=O)C(=CC=C2F)F)=C,28atl,24atl
29,C1=CC=C(C2=NC=CN=C12),8ac,7a
30,S1C(C)(C)C(=C(C1=C(C#N)C#N)C#N),30atl,17utl
31,C1=C2C(=CC=C1)OC(C)=C(C2=O),31atl,25utl
32,C1=CC=C(c2c1nsn2),9ac,3a
33,C(=C(C(=O)OC)C#N),33atl,44utl
34,C1=CC(F)=C(c2c1nsn2),10ac,26u
35,C1(=O)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=C,35atl,43utl
36,C1=C(C=C2C(=C1)NC(=O)C(=C2)C#N),36atl,39utl
37,C1(=NC=C(S1)C#N),37atl,38utl
