,SMILES,new name,old name,homo,lumo
0,C=C1C(=O)C2=CC(=C(C=C2C1=C(C#N)C#N)C#N)C#N,0atr,10atr,-8.108638997,-4.389141986
1,C1=c2c(nc3C(=O)C=CC(=O)c3n2)=C(S1),0ac,25a,-6.908970664,-3.337449165
2,C1=CC=C(C2C1N=C(C(=N2)F)F),1ac,25u,-6.590298134,-2.097235869
3,C=C1C(=O)C2=CSC=C2C1=C(C#N)C#N,3atr,15atr,-7.356461891,-3.596746453
4,C1=NN=C(C2C1=NSN=2),2ac,6a,-6.865432448,-3.393014813
5,C1=C([N+](=O)[O-])C(C)=C(S1),3ac,8d,-7.16881218,-2.426983433
6,C=C1C(=O)C2=C(C=C(C(=C2)C#N)C(=O)O)C1=C(C#N)C#N,6atr,11atr,-8.077291481,-4.367536146
7,C1=C(ON=C1)C=O,7atr,30utr,-7.775435587,-2.579666514
8,C1=CC=C2C(=C1)S/C(=C\C=C\3/C(=C(C#N)C#N)C4=C(C3=O)C=CC=C4)/N2C,8atr,16utr,-7.568901174,-2.346737058
9,C1C2=NSN=C2C(C3C1=NSN=3),4ac,18a,-7.280242802,-2.082949891
10,C1=C(OC(=C1F)C#N)C=O,10atr,31utr,-7.662317859,-3.050777223
11,C1=NC=CN1C(=O)N2C=NC=C2,11atr,37utr,-7.173492538,-2.060935881
12,C=C1C(=O)C2=C(C=C(C(=C2)F)F)C1=C(C#N)C#N,12atr,1atr,-7.569336557,-3.760722259
13,C1=CC=C(C(=C1)CO)[N+](=O)[O-],13atr,40utr,-7.497825037,-2.543012778
14,C1=CN=CN1C(=O)N2C=CN=C2,14atr,36utr,-7.205656395,-2.045071643
15,C=C1C(=O)C2=C(SC=C2/C/1=[N+](\[N+](=O)[O-])/C(=O)[O-])F,15atr,50utr,-7.480709075,-3.347381321
16,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),5ac,16a,-7.373496218,-4.332515094
17,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=C(C(=C2F)F)F,17atr,21atr,-7.678372576,-3.889840282
18,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC3=C2C=CC=C3,18atr,42utr,-6.919338202,-3.515139509
19,C=C1C(=O)C2=C(SC=C2C1=C(C#N)C#N)Cl,19atr,34atr,-7.289385827,-3.687414788
20,C=C1C(=O)C2=C(C=C(C(=C2)C)C)C1=C(C#N)C#N,20atr,22atr,-7.171968701,-3.388987528
21,C1=C(C#N)c2c(S1)sc3c2C(C#N)=C(S3),6ac,49u,-6.773702869,-1.774019037
22,C1=C(C(=C(C#N)C#N)OC1(C)C)C#N,22atr,19utr,-7.221248519,-3.265502263
23,C1=NC(=CO1)C=O,23atr,34utr,-7.331046458,-1.919844849
24,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Cl,24atr,29atr,-7.393306107,-3.67389073
25,C=C1C(=O)C2=C(/C/1=C/3\C(=O)C4=C(C3=O)C=CC=C4)C=CC=C2,25atr,28atr,-6.878357856,-3.152411747
26,C1=CN=C(C2C1=NSN=2),7ac,17a,-7.244949635,-2.948271936
27,C=c1c2c(c(=C(C#N)C#N)s1)C=CC=C2,27atr,45utr,-6.631305691,-3.128601785
28,C=C1C(=O)C2=C(C1=O)C(=CC=C2F)F,28atr,24atr,-7.132648249,-2.824705037
29,C1=CC=C(C2=NC=CN=C12),8ac,7a,-6.823173167,-2.133290954
30,C1=C(C(=C(C#N)C#N)SC1(C)C)C#N,30atr,17utr,-7.123940606,-3.35149024
31,C1=C(OC2=CC=CC=C2C1=O)C,31atr,25utr,-6.650489718,-1.595947733
32,C1=CC=C(c2c1nsn2),9ac,3a,-6.785594244,-2.500780709
33,C=C(C(=O)OC)C#N,33atr,44utr,-8.196695039,-2.4601269
34,C1=CC(F)=C(c2c1nsn2),10ac,26u,-6.907174713,-2.652348124
35,ClC1=CC2=C(C=C1Cl)C(=O)C(=C)C2=O,35atr,43utr,-7.211860591,-2.957496596
36,C1=CC=C2C(=C1)C=C(C(=O)N2)C#N,36atr,39utr,-6.739688638,-2.620157055
37,C1=NC=C(S1)C#N,37atr,38utr,-7.648303996,-2.262191285
38,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=CC(=C2)C,38atr,16atr,-7.020755034,-2.118896131
39,C1=C(F)C(F)=C(C(=C1F)F),11ac,7u,-7.019993115,-1.134769179
40,C1=NC=CC(=N1)C=C,12ac,32u,-6.974767793,-1.882157081
41,C=C1C(=C([N+](=O)[O-])[N+](=O)[O-])C2=CSC=C2C1=O,41atr,48utr,-7.576166614,-3.77389257
42,C1=C(F)C(F)=C(c2c1nn(n2)C),13ac,51u,-6.688367966,-1.760930361
43,C=C1C(=C(C#N)C#N)C2=C(C=CS2)C1=O,43atr,35atr,-7.288977656,-3.607358893
44,C1=C(F)C(F)=C(S1),14ac,6u,-6.953325222,-0.843144766
45,C=C1C(=C(C#N)C#N)C2=C(C=C3C=CC=CC3=C2)C1=O,45atr,41utr,-6.874221725,-3.577671272
46,C(C1=CC2=C(C=C1)C(=C(C#N)C#N)C(=C)C2=O)(F)(F)F,45atr,12atr,-7.727870086,-3.878166597
47,C1=CN=C(C=N1),15ac,57u,-6.898684761,-1.577199089
48,C1=NC2=CC=CC=C2S1,47atr,22utr,-6.631332903,-1.226879718
49,C1=CC=C(S1),16ac,2u,-6.546705495,-0.447600073
50,C1=NC(=NC=N1),17ac,33u,-7.639297028,-1.746726018
51,C=C(C(=O)OC)C#N,33atr,44utr,-7.493607272,-2.435745499
52,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC=C3,51atr,32atr,-6.890902305,-3.517370843
53,C1=C(C(=O)O)C(=NO1),18ac,46u,-8.132993187,-1.792413933
54,C=C1C(=O)C2=CC=CC=C2C1=O,53atr,27atr,-6.94916188,-2.670906288
55,C=C1C(=O)C2=CC3=C(C=C(C=C3)F)C=C2C1=C(C#N)C#N,54atr,52utr,-6.997598145,-3.672639006
56,C1=C(C(=C(C#N)C#N)SC1(C2=CC=CC=C2)C3=CC=CC=C3)C#N,55atr,21utr,-7.04208876,-3.315544
57,C1=CC(=C(C#N)C#N)C=C(O1),19ac,40u,-6.609454949,-2.653382156
58,C1=NN=C(C2C1=NON=2),20ac,5a,-7.303100365,-3.604175161
59,C#Cc1c(c(c(s1)C#N)F)F,58atr,28utr,-7.124947427,-2.66780419
60,C1=CC=C2C(=C1)C=C(C(=O)N2)C#N,36atr,39utr,-6.697701471,-2.624075495
61,C1=COC=C1C(=O)C2=CC=C(S2),21ac,22u,-6.718001164,-2.009805688
62,C=C1C(=C(C#N)C#N)C2=C(C=CC=C2)C1=C(C#N)C#N,61atr,19atr,-7.421116142,-3.896371014
63,C1=CC=C(C2C1=NC(=C(N=2)C)C),22ac,8a,-6.617645576,-1.80944826
64,C1=C(OC2=CC=CC=C2C1=O)C,31atr,25utr,-7.3010323,-1.127830276
65,C1=C2C(N=CC=N2)=C(c3c1nsn3),23ac,24a,-6.563685399,-3.353177346
66,C1=CC=C2C(=C1)OC(=N2),24ac,45u,-6.802193189,-1.064863131
67,C1=C(C2=CC(=CC=C2S1)C#N),25ac,20u,-6.651632596,-1.570096917
68,C1=C(OC)C(OC)=C(C2C1=NON=2),26ac,13a,-6.823445281,-2.437078856
69,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC(=C3)Br,68atr,33atr,-6.919310991,-3.59315455
70,C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N,69atr,53utr,-8.094706768,-4.757965099
71,C1=C(C(=O)O)C(=CS1),27ac,47u,-7.279263192,-1.584083569
72,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),28ac,15a,-6.867799839,-3.504064476
