,SMILES,new name,old name,homo,lumo
0,C1=C2C(OCCO2)=C([Si]1(C)C),0dc,34u,-5.557843762307351,-0.9192550097591
1,C1=CC=C(S1)C2=CC=C(S2),1dc,15d,-5.66690699358775,-1.4393190008346999
2,C1=CC2=C(C=C1)C3=C(N2C)C=C(C=C3),2dc,12d,-5.5654357387363005,-0.9429017033675501
3,C1=C(OC)C=C(S1),3dc,4u,-5.93450375416945,-0.269936939696
4,"C1=C2C(C(=N1)OC)=C(N=C2OC)	304
",4dc,26a,-6.0343423259179,-2.81792940162285
5,C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4),5dc,17d,-5.4278549759235,-1.86384381899975
6,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(\C3=CC=CC=C3)/C4=CC=C(C=C4),6dc,23u,-5.4927269178827,-1.5737976657518
7,C1=C2C(C(=C(S2)C)F)=C(S1),7dc,20a,-5.6778187589928,-1.1275309509318001
8,C1=C2C(SCCS2)=C(S1),8dc,36u,-5.66766891236915,-0.57881337139855
9,C1=C(OC)C(OC)=C(S1),9dc,9u,-5.6489746908398,0.0198098883164
10,C1=C2C(N=C(C(=N2)C)C)=C(C3C1=NSN=3),10dc,14a,-6.3296402764805,-3.07763486054005
11,C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4),11dc,11d,-5.28562106626715,-1.3460383728833
12,C=CC=C,12dc,60u,-6.4852893989665,-0.9376771174379499
13,C1=CC2=C(S1)C1=C([Si]2(C)C)C=C(S1),13dc,5d,-5.4684815738031505,-1.42661128401635
14,C1=CC2=C(S1)C3=C([Ge]2(C)C)C=C(S3),14dc,16d,-5.4402089447362,-1.3651407651884
15,C1=Cc2c(S1)c1c(s2)C=C(S1),15dc,61u,-5.7621740526478,-1.2492202648754
16,C1=C(OC)C=C(C(=C1)OC),16dc,15u,-5.5050808866954,-0.23121513876984998
17,C1=CC(SC)=C(S1),17dc,50u,-5.64209021042215,-0.43900127501165004
18,C1=CC=C2C(=C1)C(C)(C)C3=CC(=CC=C23),18dc,18d,-5.98326655617905,-1.058522878445
19,C1=CC2=C(S1)C=C1C(=C2)SC(=C1),19dc,62u,-5.6053276292196,-1.31733036165555
20,C1=CC2=C(S1)C1=C(N2C)C=C(S1),20dc,3d,-5.26962077185775,-0.758109187493
21,C1=CC(C2=C(C=CC=C2OC)OC)=C(S1),21dc,11u,-5.28562106626715,-1.3460383728833
22,C1=Cc2c(S1)c(OC)c3c(c2OC)SC(=C3),22dc,52u,-4.8125511371729,-0.9969707254618999
23,C1=CC(=C(C#N)C#N)C=C(S1),23dc,41u,-6.44237704474265,-2.8948559871592003
24,C1=C2C(OCCS2)=C(S1),24dc,35u,-5.6926761752301,-0.4158988091042
25,C1=CC2=C(S1)C=C(S2),25dc,9d,-6.0109405347749005,-0.92004413992555
26,C1=CC(C)=C(S1),26dc,4d,-6.3024288914305,-0.39973524638450003
27,C1=c2c(nc(c(n2)C)C)=C(S1),27dc,37u,-6.154997607229601,-2.12670579858275
28,C1=CC=C([Se]1),28dc,64u,-6.5243105251282,-0.6348960359865999
29,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),29dc,53u,-5.85597169691515,-1.64005738834855
30,C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4),30dc,6d,-5.19772829255565,-1.6053628724098001
31,C1=CC2=C(c3c(N=C2S1)sc(c3F)F),31dc,28u,-6.2114340198233,-1.74754235929605
32,C1=C2C(N=S=N2)=C(C3=CSC=C13),32dc,39u,-5.35974487914335,-3.06005630579775
33,C1=C2SC(C)=CC2=C(S1),33dc,10d,-5.545843541500299,-0.95155492381345
34,C1=C2OCC(C)OC2=C(S1),34dc,7d,-5.8535498836457,-0.1958131268198
35,C1=C(F)c2c(S1)c3c(s2)C(F)=C(S3),35dc,30u,-6.10397626026085,-1.6109684177301
36,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(/C3=CC=CC=C3)\C4=CC=C(C=C4),36dc,19u,-5.4927269178827,-1.5737976657518
37,C1=CC=C(c2c1nn(n2)C),37dc,21a,-6.34408952194205,-1.46367319045445
38,C1=Cc2c(S1)c(SC)c3c(c2SC)SC(=C3),38dc,14d,-5.71849977964255,-1.6491187795702
39,C1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3),39dc,44u,-5.51582938379015,-1.5273206200864
40,C1=C2C(=O)N(C)C(=C2C(=O)N1C),40dc,4a,-5.68410458893935,-2.35462835976155
41,N1(C2=C(SC3C=CC=CC1=3)C=CC=C2)C,41dc,19d,-4.7829451502385005,-0.73419038003405
42,C1=CC=C([SiH2]1),42dc,55u,-6.495520879745301,-1.61845154861885
43,C1=C(OC)C=C(C(=C1)OC),43dc,2d,-5.5050808866954,-0.23121513876984998
44,C1=NN=C(C=C1),44dc,58u,-6.3272456745961,-1.6012811646523002
45,C1=CC2=C(S1)C3=C([Si]2(C)C)C=C(S3),45dc,43u,-5.4684815738031505,-1.42661128401635
46,C1=CC(C2=CC(=CC(=C2)OC)OC)=C(S1),46dc,10u,-5.76818776874385,-0.9286157262163
47,C=C1C=C/C(/S1)=C/2\C=CC(S2)=C,47dc,24u,-4.9684179507393,-2.2844501977176
48,C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3),48dc,38u,-6.22060425658515,-3.5723378407490505
49,C1=C(F)C(OC)=C(C(=C1OC)F),49dc,8u,-5.6765126125103995,-0.34212874423365003
50,C1=CC=C(C2=C[Si]C=C12),50dc,56u,-5.50227811403525,-3.56825613299155
51,C1=CC=C2C(=C1)N(C)C(=O)/C/2=C\3/C(=O)N(C)C4=C3C=CC(=C4),51dc,42u,-5.8078347567617,-2.8552906332965
52,C1=C2C(SC(=N2)C)=C(S1),52dc,9a,-6.0557576859522495,-1.1881579168232002
53,C1=CC2=C(S1)C1=C(CO2)C=C(S1),53dc,63u,-5.323635371182,-1.3394532177012
54,C1=CC2=C(S1)C3=C(C2(C)C)C=C(S3),54dc,1d,-5.3683436768191495,-1.19830776344685
55,C1=C2C(N=CS2)=C(C2=C1N=CS2),55dc,11a,-6.37162744361265,-1.75162406705355
56,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),56dc,54u,-5.85597169691515,-1.64005738834855
57,C1=C(OC)C(OC)=C(C2C1=NSN=2),57dc,1a,-6.38947811220545,-2.15750908645935
58,C1=Cc2c(S1)c3c(s2)C=C(N3C),58dc,13d,-5.2644778200833,-0.6988427908541001
59,C(\C1=CC=C(C=C1)C(=O)O)=C(/C2=CC=C(C=C2)C(=O)O),59dc,27u,-6.52553503745545,-2.7504179553138
60,C1=C2C(N(C1=O)C)=C(C(=O)N2C),60dc,19a,-6.4328802713602,-2.5093795065409
61,C1=C(OC)C(OC)=C(C=C1),61dc,14u,-5.5665241941383,0.13967603946165003
62,C1=C2C(C(=O)N1C)=C(N(C2=O)C),62dc,17u,-5.65580474848735,-2.3259203485338
