Donor,summedoscs,absFOM,Electrodonating,optbg
FTAZ,8.78473932,21.15730635,5.787687198,19516.3
J71,10.76941207,26.19457839,5.720784639,19486.4
P2,12.10483964,26.17189741,6.428418765,20048.8
P3HT,2.785353023,12.0161069,4.236686681,21666.3
PBDB-T,12.75195782,44.74731995,5.839309701,17714.2
PBDB-T-2Cl,12.98548233,50.14623799,6.210293062,18804.1
PBDB-TF,13.04083535,48.55193625,6.240927469,18439.3
PBDB-T-SF,14.24515589,62.75526668,6.2001,17569.8
PBDT-3TCO,11.2267812,26.03033813,6.064886364,19699.1
PBN-S,13.71482855,45.98916704,6.591357446,19129.1
PBQ-4F,14.86141259,44.30836866,6.546804124,17220.2
PDBT-T1,13.44334438,40.16131844,5.763428571,19216.4
PDCBT,5.931795626,4.930539931,6.487714286,19400.8
PDCBT-2F,5.974315108,7.115365357,6.885938995,19269.9
PDCBT-Cl,5.183854525,6.835136983,6.127304502,19211.3
PFBDB-T,12.78416149,46.08605907,6.337524752,17862.5
PffBT4T-2DT,8.256423152,42.72901155,6.45561115,15118.4
PTB7-Th,8.566758653,24.18064733,6.346314103,17490.5
PTFB-O,9.988432533,33.60423098,5.783936138,19242.2
PTQ2,7.968147066,26.60847586,6.12849796,20628.3
PCl3BDB-T,12.91286655,41.45945081,6.027649941,18170.2
PCl4BDB-T,12.9816316,42.55747113,6.30318111,17656.7
