146
 SCF done       -271.659492670443          0.233985908123
C          -3.31039000000000    0.88383000000000   -2.91225000000000
C          -2.29625000000000    0.70721000000000   -3.85458000000000
F          -1.61172000000000    1.76948000000000   -4.29561000000000
C          -1.98874000000000   -0.56382000000000   -4.32801000000000
F          -1.00815000000000   -0.73371000000000   -5.21922000000000
C          -2.70110000000000   -1.66438000000000   -3.87705000000000
C          -3.73071000000000   -1.51298000000000   -2.93603000000000
C          -4.04268000000000   -0.21043000000000   -2.43315000000000
C          -5.06079000000000   -0.06605000000000   -1.46666000000000
C          -5.79377000000000   -1.16812000000000   -1.03725000000000
C          -5.47567000000000   -2.41543000000000   -1.58524000000000
C          -4.47103000000000   -2.61739000000000   -2.52164000000000
C          -6.29770000000000   -3.47793000000000   -0.99555000000000
O          -6.38091000000000   -4.60792000000000   -1.42549000000000
C          -7.00882000000000   -2.84106000000000    0.16197000000000
C          -6.88998000000000   -1.36727000000000   -0.03693000000000
C          -7.70503000000000   -0.40236000000000    0.46026000000000
C          -8.80484000000000   -0.70485000000000    1.31447000000000
N          -9.69520000000000   -0.95696000000000    2.01738000000000
C          -7.56825000000000    0.98146000000000    0.13083000000000
N          -7.42763000000000    2.09493000000000   -0.13567000000000
C          -7.45519000000000   -3.53889000000000    1.22575000000000
C          -7.34428000000000   -4.95748000000000    1.34629000000000
C          -6.32662000000000   -5.70389000000000    1.90049000000000
C          -6.49172000000000   -7.14650000000000    1.80976000000000
C          -5.65343000000000   -8.22996000000000    2.20801000000000
C          -4.33499000000000   -7.97192000000000    2.86787000000000
C          -3.72026000000000   -8.62182000000000    3.93429000000000
C          -2.41981000000000   -8.11778000000000    4.24845000000000
C          -2.07855000000000   -7.04653000000000    3.45622000000000
S          -3.24694000000000   -6.78417000000000    2.24223000000000
C          -0.85204000000000   -6.20020000000000    3.52392000000000
C          -6.04506000000000   -9.56960000000000    1.95034000000000
C          -7.24035000000000   -9.87286000000000    1.28344000000000
C          -8.09626000000000   -8.79099000000000    0.91384000000000
C          -7.71763000000000   -7.44995000000000    1.19428000000000
S          -8.62194000000000   -5.98385000000000    0.90895000000000
C          -9.37758000000000   -9.05429000000000    0.18918000000000
C          -9.96179000000000   -8.36251000000000   -0.86677000000000
C         -11.19443000000000   -8.92465000000000   -1.31729000000000
C         -11.50732000000000  -10.08145000000000   -0.64258000000000
S         -10.43798000000000  -10.33519000000000    0.66355000000000
C         -12.62609000000000  -11.02938000000000   -0.91829000000000
C          -7.33173000000000  -11.31276000000000    1.06582000000000
C          -6.33599000000000  -12.07165000000000    1.65334000000000
S          -5.17563000000000  -11.02543000000000    2.31645000000000
C          -6.13945000000000  -13.55305000000000    1.65166000000000
C          -6.51747000000000  -14.25510000000000    0.49617000000000
C          -6.31293000000000  -15.63096000000000    0.38145000000000
C          -5.74412000000000  -16.37274000000000    1.42737000000000
C          -5.40012000000000  -15.68063000000000    2.62358000000000
C          -5.58256000000000  -14.27121000000000    2.73654000000000
N          -5.20896000000000  -13.63841000000000    3.88343000000000
C          -4.65921000000000  -14.34635000000000    4.90054000000000
C          -4.54100000000000  -15.71379000000000    4.81646000000000
N          -4.88434000000000  -16.34919000000000    3.67975000000000
C          -3.99286000000000  -16.58360000000000    5.90448000000000
C          -4.19255000000000  -13.57484000000000    6.09466000000000
C          -5.49637000000000  -17.84798000000000    1.20690000000000
C          -5.60202000000000  -18.62810000000000    0.06154000000000
C          -5.15095000000000  -20.01711000000000    0.19587000000000
C          -5.05010000000000  -21.09219000000000   -0.74010000000000
C          -5.56595000000000  -20.87532000000000   -2.12677000000000
C          -6.70642000000000  -20.20531000000000   -2.55950000000000
C          -6.84746000000000  -20.16145000000000   -3.98407000000000
C          -5.83467000000000  -20.83842000000000   -4.62310000000000
S          -4.67989000000000  -21.40783000000000   -3.50929000000000
C          -5.62152000000000  -21.05147000000000   -6.08435000000000
C          -4.45984000000000  -22.32865000000000   -0.34272000000000
C          -4.00073000000000  -22.52384000000000    0.97154000000000
C          -4.11611000000000  -21.46012000000000    1.90176000000000
C          -4.70353000000000  -20.24127000000000    1.50114000000000
S          -5.04255000000000  -18.88015000000000    2.48138000000000
C          -3.55703000000000  -21.59603000000000    3.28922000000000
C          -2.83763000000000  -20.68250000000000    4.05581000000000
C          -2.43574000000000  -21.18236000000000    5.33352000000000
C          -2.80572000000000  -22.49480000000000    5.51003000000000
S          -3.81959000000000  -23.01683000000000    4.24052000000000
C          -2.45882000000000  -23.41434000000000    6.63322000000000
C          -3.45123000000000  -23.84381000000000    1.11872000000000
C          -3.44787000000000  -24.62956000000000   -0.00838000000000
S          -4.14337000000000  -23.76966000000000   -1.28634000000000
C          -2.81112000000000  -25.89692000000000   -0.07121000000000
C          -3.03438000000000  -26.96463000000000   -0.84205000000000
C          -1.96184000000000  -28.01108000000000   -0.74046000000000
O          -1.11648000000000  -28.14761000000000    0.12019000000000
C          -2.09241000000000  -28.83417000000000   -1.94074000000000
C          -1.22357000000000  -29.85111000000000   -2.29924000000000
C          -1.46147000000000  -30.51703000000000   -3.49938000000000
C          -2.55319000000000  -30.11564000000000   -4.32559000000000
C          -2.76510000000000  -30.79781000000000   -5.53386000000000
C          -1.92978000000000  -31.85051000000000   -5.90296000000000
C          -0.87440000000000  -32.23730000000000   -5.08835000000000
C          -0.63129000000000  -31.57549000000000   -3.89181000000000
F          -0.08098000000000  -33.25572000000000   -5.44627000000000
F          -2.15818000000000  -32.49382000000000   -7.05478000000000
C          -3.40825000000000  -29.06056000000000   -3.92144000000000
C          -3.19953000000000  -28.43051000000000   -2.70089000000000
C          -3.93896000000000  -27.38461000000000   -1.91819000000000
C          -5.27085000000000  -27.14696000000000   -2.01178000000000
C          -6.00273000000000  -26.46872000000000   -0.99349000000000
N          -6.63743000000000  -25.96355000000000   -0.16148000000000
C          -6.07605000000000  -27.68180000000000   -3.05813000000000
N          -6.72252000000000  -28.12166000000000   -3.91619000000000
H          -3.52300000000000    1.89533000000000   -2.57852000000000
H          -2.42687000000000   -2.65176000000000   -4.25960000000000
H          -5.25267000000000    0.92996000000000   -1.07212000000000
H          -4.26321000000000   -3.61831000000000   -2.88550000000000
H          -7.85319000000000   -3.04029000000000    2.10305000000000
H          -5.45904000000000   -5.21818000000000    2.32473000000000
H          -4.16064000000000   -9.45421000000000    4.47077000000000
H          -1.78091000000000   -8.51583000000000    5.02901000000000
H          -0.67793000000000   -5.85606000000000    4.54986000000000
H          -0.92830000000000   -5.31030000000000    2.88996000000000
H           0.02285000000000   -6.77353000000000    3.20248000000000
H          -9.53058000000000   -7.47896000000000   -1.32146000000000
H         -11.79102000000000   -8.52102000000000   -2.12742000000000
H         -13.58955000000000  -10.51219000000000   -0.87355000000000
H         -12.65323000000000  -11.86329000000000   -0.20970000000000
H         -12.51696000000000  -11.45494000000000   -1.92316000000000
H          -8.13009000000000  -11.77996000000000    0.50610000000000
H          -6.95160000000000  -13.72720000000000   -0.35139000000000
H          -6.60118000000000  -16.10521000000000   -0.55312000000000
H          -4.19436000000000  -16.17446000000000    6.89834000000000
H          -2.91368000000000  -16.71159000000000    5.77932000000000
H          -4.46288000000000  -17.57333000000000    5.86638000000000
H          -4.22059000000000  -12.49874000000000    5.89737000000000
H          -3.15727000000000  -13.83785000000000    6.33830000000000
H          -4.83022000000000  -13.78410000000000    6.95841000000000
H          -5.94392000000000  -18.21997000000000   -0.87935000000000
H          -7.41914000000000  -19.73811000000000   -1.89042000000000
H          -7.65500000000000  -19.66015000000000   -4.50637000000000
H          -6.57360000000000  -21.10286000000000   -6.62322000000000
H          -5.08135000000000  -21.98382000000000   -6.28558000000000
H          -5.03737000000000  -20.22327000000000   -6.49770000000000
H          -2.59204000000000  -19.67968000000000    3.72761000000000
H          -1.86918000000000  -20.61470000000000    6.06284000000000
H          -2.28367000000000  -22.85433000000000    7.55789000000000
H          -1.54170000000000  -23.96844000000000    6.40008000000000
H          -3.25443000000000  -24.14020000000000    6.82780000000000
H          -3.02517000000000  -24.22763000000000    2.03490000000000
H          -1.97854000000000  -25.97511000000000    0.63454000000000
H          -0.39029000000000  -30.10710000000000   -1.64914000000000
H          -3.58364000000000  -30.53153000000000   -6.19721000000000
H           0.20269000000000  -31.90184000000000   -3.27552000000000
H          -4.22036000000000  -28.76880000000000   -4.58063000000000
146
 SCF done       -271.710448785762          0.106088673049
C          -3.31127210295452    0.88438666585375   -2.91176718110802
C          -2.30721847514992    0.70860704230474   -3.84343667285393
F          -1.62179632775539    1.76951576335789   -4.28787536064227
C          -1.99300018341765   -0.56893563389381   -4.32268406388301
F          -1.01064232802812   -0.73127533327186   -5.21636563310610
C          -2.69604974912910   -1.66308719934937   -3.87934828349676
C          -3.73324613476669   -1.51300940359567   -2.94281845392430
C          -4.04789311022731   -0.21309013269611   -2.42990805559787
C          -5.07205794379339   -0.06635888627677   -1.46194560594550
C          -5.78981694208968   -1.17035225296785   -1.03413149676250
C          -5.46911923631554   -2.42891210495237   -1.58567980299007
C          -4.47373104398172   -2.62177544164290   -2.51316261107786
C          -6.30132156812480   -3.48675140813576   -0.99595003702675
O          -6.38994339955629   -4.62172866060112   -1.39933919363266
C          -6.99507365726932   -2.84315161688819    0.16448826239905
C          -6.88027443913315   -1.37671548338064   -0.04641940206472
C          -7.69946489247753   -0.41109454943086    0.45864179841837
C          -8.79550264099728   -0.70958187270373    1.31139233568647
N          -9.67473712888707   -0.94904699495344    2.00408626731813
C          -7.56425891277847    0.96622774741974    0.13199293317693
N          -7.43193580200774    2.07438444135467   -0.12735540777896
C          -7.43739525719480   -3.54419451018974    1.23115931238880
C          -7.33516902357276   -4.99378585494011    1.35566324296511
C          -6.31249897674275   -5.72839480759503    1.89482763863202
C          -6.48202124831751   -7.16169124304544    1.80852445184672
C          -5.63526027135491   -8.22801111960663    2.21715965726887
C          -4.32986290904375   -7.98035171796112    2.86327105161180
C          -3.71813305122591   -8.62834309861901    3.91415574791763
C          -2.43916530232110   -8.10947571864332    4.24038201748310
C          -2.07889974417999   -7.05317508327304    3.44813398055353
S          -3.27062268407696   -6.75084188475020    2.25090645871096
C          -0.85083705386020   -6.20795725106565    3.52348320684126
C          -6.04150724231519   -9.55381428424548    1.95739353027338
C          -7.24310933490256   -9.87063824301844    1.27666124658674
C          -8.10938471198420   -8.80235667848288    0.90012085327083
C          -7.71786668149836   -7.48014520327994    1.19368599673105
S          -8.62500140702192   -6.02097974476619    0.85578572381598
C          -9.38247024138204   -9.04803100335194    0.19450458938544
C          -9.96274138908566   -8.35957689518964   -0.84939145940070
C         -11.17269589103530   -8.93439624676161   -1.31164689389645
C         -11.51107599607490  -10.07397330237488   -0.63207521304252
S         -10.40644124545921  -10.37403861098071    0.64835010512579
C         -12.62955109843709  -11.02053170532491   -0.91580690885247
C          -7.34196897075488  -11.30174501783908    1.07381347395447
C          -6.33505499788549  -12.04995601075074    1.64608270665749
S          -5.16498078390363  -11.00711017090736    2.36086185197630
C          -6.14595690571506  -13.52954023713714    1.64538281111533
C          -6.51067579621678  -14.25384031932373    0.51112612189292
C          -6.30748802946032  -15.63465246878485    0.39593123687570
C          -5.74520373430274  -16.39940570123418    1.41760660761309
C          -5.39909153121926  -15.69359422552679    2.61796455988073
C          -5.58010864329516  -14.26849014292240    2.72992336636425
N          -5.20032031654800  -13.64131137040644    3.86782955554582
C          -4.66774796461649  -14.33685072448759    4.87295026511473
C          -4.54608927951285  -15.72936565435167    4.78690771007690
N          -4.89341212549178  -16.36386572519737    3.67094720542099
C          -4.00258735689586  -16.58466911859716    5.89313627541618
C          -4.19959923451169  -13.57266120567137    6.07696084050217
C          -5.50167472802782  -17.86308743366767    1.21097506658735
C          -5.59038931280981  -18.63338494677661    0.06156229288761
C          -5.15221887570433  -20.00968645981731    0.19766513768991
C          -5.05975653873223  -21.07093540417713   -0.75314112462450
C          -5.56231819340275  -20.86262712154841   -2.12571653518942
C          -6.68955665218181  -20.19683762593784   -2.55797483275086
C          -6.83637864777698  -20.17347832619335   -3.96901761265649
C          -5.82845552254813  -20.83666310638578   -4.61557909822503
S          -4.67720032465089  -21.44405018364001   -3.49844292663588
C          -5.62301031307013  -21.04539819831729   -6.07958123870800
C          -4.47365090525748  -22.29293629411287   -0.34460737220206
C          -4.00958952105606  -22.50544570562755    0.98280151450046
C          -4.11631962716221  -21.45409511053948    1.92962203982930
C          -4.70510724225685  -20.24540384652376    1.52060202889743
S          -4.97750719231588  -18.85826514470939    2.52047490076977
C          -3.57247032210290  -21.58740929763139    3.29850821877279
C          -2.85470498933428  -20.68406667575372    4.05419757016599
C          -2.43722716129724  -21.19067592811333    5.31111267756859
C          -2.82267249310100  -22.48871721730148    5.51421469798460
S          -3.79099530832726  -23.04910949774488    4.21073804668532
C          -2.46541246799897  -23.40540779981463    6.63606415136717
C          -3.44006848098793  -23.80792952867698    1.12719000481127
C          -3.46292648689250  -24.58905670325618   -0.00660836532747
S          -4.18538845822924  -23.73230862424395   -1.31124980037764
C          -2.83306383560427  -25.87538375542003   -0.07014987007003
C          -3.02780637339409  -26.96519265360402   -0.84790856432404
C          -1.95831415278756  -28.00894924121837   -0.73608336412866
O          -1.12404675348558  -28.12937522482282    0.13245867255351
C          -2.08247435392796  -28.83699431039634   -1.93565480570640
C          -1.22606431816716  -29.84587402320938   -2.29561603906067
