,SMILES,new name,old name,homo,lumo,bandgap,acc_term_count
0,C12=CC(C#N)=C(C#N)C=C1C(=O)C(C2=C(C#N)C#N)=C,0atl,10atl,-8.108638997,-4.389141986,3.719497011,183
1,C1=c2c(nc3C(=O)C=CC(=O)c3n2)=C(S1),0ac,25a,-6.908970664,-3.337449165,3.571521499,3
2,C1=CC=C(C2C1N=C(C(=N2)F)F),1ac,25u,-6.590298134,-2.097235869,4.493062265,5
3,C12=CSC=C1C(=O)C(C2=C(C#N)C#N)=C,3atl,15atl,-7.356461891,-3.596746453,3.759715438,11
4,C1=NN=C(C2C1=NSN=2),2ac,6a,-6.865432448,-3.393014813,3.472417635,6
5,C1=C([N+](=O)[O-])C(C)=C(S1),3ac,8d,-7.16881218,-2.426983433,4.741828747,4
6,C1=C(C(=O)O)C(C#N)=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,6atl,11atl,-8.077291481,-4.367536146,3.709755335,8
7,C1=NOC(C=O)=C1,7atl,30utl,-7.775435587,-2.579666514,5.195769073,5
8,C1(F)=C(C(=O)O)C(F)=C(F)C(=C1F),8atl,6utl,-7.568901174,-2.346737058,5.222164116,5
9,C1C2=NSN=C2C(C3C1=NSN=3),4ac,18a,-7.280242802,-2.082949891,5.197292911,4
10,C1(F)=C(C#N)OC(C=O)=C1,10atl,31utl,-7.662317859,-3.050777223,4.611540636,2
11,C(=O)(N1C=NC=C1)N2C=CN=C2,11atl,37utl,-7.173492538,-2.060935881,5.112556657,7
12,C1=C(F)C(F)=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,12atl,1atl,-7.569336557,-3.760722259,3.808614298,2
13,C1=C([N+](=O)[O-])C(CO)=CC(=C1),13atl,40utl,-7.497825037,-2.543012778,4.954812259,6
14,C1=NC=C(N1C(=O)N2C=CN=C2),14atl,36utl,-7.205656395,-2.045071643,5.160584752,2
15,C1(=O)C2=C(F)SC=C2/C(=[N+](\[N+](=O)[O-])/C(=O)[O-])/C1=C,15atl,50utl,-7.480709075,-3.347381321,4.133327754,0
16,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),5ac,16a,-7.373496218,-4.332515094,3.040981124,10
17,C1(=O)C2=C(C=C(C(=C2F)F)F)C(=C(C#N)C#N)C1=C,17atl,21atl,-7.678372576,-3.889840282,3.788532294,3
18,C1(C(=O)C2=C(C1=C(C#N)C#N)C=CC3=C2C=CC=C3)=C,18atl,42utl,-6.919338202,-3.515139509,3.404198693,146
19,C12=CSC(Cl)=C1C(=O)C(C2=C(C#N)C#N)=C,19atl,34atl,-7.289385827,-3.687414788,3.601971039,17
20,C1=C(C)C(C)=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,20atl,22atl,-7.171968701,-3.388987528,3.782981173,72
21,C1=C(C#N)c2c(S1)sc3c2C(C#N)=C(S3),6ac,49u,-6.773702869,-1.774019037,4.999683832,2
22,C1(C)(C)C(=C(C(=C(C#N)C#N)O1)C#N),22atl,19utl,-7.221248519,-3.265502263,3.955746256,4
23,O1C(=NC(=C1)C=O),23atl,34utl,-7.331046458,-1.919844849,5.411201609,7
24,C1(C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Cl)=C,24atl,29atl,-7.393306107,-3.67389073,3.719415377,23
25,C1(C(=O)C2=C(/C/1=C/3\C(=O)C4=C(C3=O)C=CC=C4)C=CC=C2)=C,25atl,28atl,-6.878357856,-3.152411747,3.725946109,1
26,C1=CN=C(C2C1=NSN=2),7ac,17a,-7.244949635,-2.948271936,4.296677699,5
27,c1(=C(C#N)C#N)c2c(C=CC=C2)c(s1)=C,27atl,45utl,-6.631305691,-3.128601785,3.502703906,18
28,C1(C(=O)C2=C(C1=O)C(=CC=C2F)F)=C,28atl,24atl,-7.132648249,-2.824705037,4.307943212,4
29,C1=CC=C(C2=NC=CN=C12),8ac,7a,-6.823173167,-2.133290954,4.689882213,6
30,S1C(C)(C)C(=C(C1=C(C#N)C#N)C#N),30atl,17utl,-7.123940606,-3.35149024,3.772450366,3
31,C1=C2C(=CC=C1)OC(C)=C(C2=O),31atl,25utl,-6.650489718,-1.595947733,5.054541985,6
32,C1=CC=C(c2c1nsn2),9ac,3a,-6.785594244,-2.500780709,4.284813535,4
33,C(=C(C(=O)OC)C#N),33atl,44utl,-8.196695039,-2.4601269,5.736568139,7
34,C1=CC(F)=C(c2c1nsn2),10ac,26u,-6.907174713,-2.652348124,4.254826589,2
35,C1(=O)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=C,35atl,43utl,-7.211860591,-2.957496596,4.254363995,0
36,C1=C(C=C2C(=C1)NC(=O)C(=C2)C#N),36atl,39utl,-6.739688638,-2.620157055,4.119531583,4
37,C1(=NC=C(S1)C#N),37atl,38utl,-7.648303996,-2.262191285,5.386112711,3
38,C1(SC(=O)N(C1=O)C)=C,38atl,6atl,-7.020755034,-2.118896131,4.901858903,4
39,C1=C(F)C(F)=C(C(=C1F)F),11ac,7u,-7.019993115,-1.134769179,5.885223936,4
40,C1=NC=CC(=N1)C=C,12ac,32u,-6.974767793,-1.882157081,5.092610712,6
41,C1=C2C(=CS1)C(=O)C(C2=C([N+](=O)[O-])[N+](=O)[O-])=C,41atl,48utl,-7.576166614,-3.77389257,3.802274044,2
42,C1=C(F)C(F)=C(c2c1nn(n2)C),13ac,51u,-6.688367966,-1.760930361,4.927437605,2
43,C1=CSC2=C1C(=O)C(C2=C(C#N)C#N)=C,43atl,35atl,-7.288977656,-3.607358893,3.681618763,17
44,C1=C(F)C(F)=C(S1),14ac,6u,-6.953325222,-0.843144766,6.110180456,4
45,C1=CC(=CC2=C1C(=C(C#N)C#N)C(=C)C2=O)C(F)(F)(F),45atl,12atl,-7.727870086,-3.878166597,3.849703489,270
46,C1=CN=C(C=N1),15ac,57u,-6.898684761,-1.577199089,5.321485672,4
47,C1=C2C(=CC=C1)SC(=N2),47atl,22utl,-6.631332903,-1.226879718,5.404453185,11
48,C1=CC=C(S1),16ac,2u,-6.546705495,-0.447600073,6.099105422,3
49,C1=NC(=NC=N1),17ac,33u,-7.639297028,-1.746726018,5.89257101,4
50,C1(=O)C2=C(C=CC=C2)C(=O)N1,50atl,4utl,-7.493607272,-2.435745499,5.057861773,3
51,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC=C3)C(=O)C1=C,51atl,32atl,-6.890902305,-3.517370843,3.373531462,3
52,C1=C(C(=O)O)C(=NO1),18ac,46u,-8.132993187,-1.792413933,6.340579254,202
53,C1=CC=C2C(=C1)C(=O)C(C2=O)=C,53atl,27atl,-6.94916188,-2.670906288,4.278255592,2
54,C1=C(F)C=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=C,54atl,52utl,-6.997598145,-3.672639006,3.324959139,6
55,C1(C2=CC=CC=C2)(C3=CC=CC=C3)C(=C(C(=C(C#N)C#N)S1)C#N),55atl,21utl,-7.04208876,-3.315544,3.72654476,3
56,C1=CC(=C(C#N)C#N)C=C(O1),19ac,40u,-6.609454949,-2.653382156,3.956072793,8
57,C1=NN=C(C2C1=NON=2),20ac,5a,-7.303100365,-3.604175161,3.698925204,9
58,c1(C#N)c(F)c(F)c(s1)C#C,58atl,28utl,-7.124947427,-2.66780419,4.457143237,7
