gen,filename,deltaHOMO,summedoscs,PCE,donor,
99,62_174_103_174_62,1.57,9.469347,22.882837,PBDB-T-SF,1
99,62_644_103_644_62,1.76,8.514024,22.375808,PBDB-T-SF,1
99,55_644_103_644_55,1.6,8.913414,22.244967,PBDB-T-SF,1
99,90_485_103_485_90,1.22,10.012731,22.141827,PBDB-T-SF,1
99,90_174_103_174_90,1.34,9.542362,22.004729,PBDB-T-SF,1
99,16_174_103_174_16,1.51,8.981952,21.956394,PBDB-T-SF,1
99,55_174_103_174_55,1.42,9.21747,21.897753,PBDB-T-SF,1
99,18_174_103_174_18,1.35,9.386486,21.832638,PBDB-T-SF,1
99,69_485_103_485_69,1.29,9.544669,21.795155,PBDB-T-SF,1
99,90_239_103_239_90,2.06,6.979131,21.538759,PBDB-T-SF,1
99,55_485_103_485_55,1.58,8.461055,21.536969,PBDB-T-SF,1
99,52_174_103_174_52,1.45,8.821678,21.480397,PBDB-T-SF,1
99,55_239_103_239_55,2,6.971427,21.272851,PBDB-T-SF,1
99,90_644_103_644_90,1.52,8.446787,21.262023,PBDB-T-SF,1
99,17_174_103_174_17,1.55,8.3484,21.254194,PBDB-T-SF,1
99,18_644_103_644_18,1.57,8.23494,21.183059,PBDB-T-SF,1
99,45_485_103_485_45,1.23,9.258762,21.146162,PBDB-T-SF,1
96,90_485_59_485_90,1.27,9.091447,21.085969,PBDB-T-SF,1
95,103_644_103_644_103,1.71,7.725615,21.077419,PBDB-T-SF,1
96,52_644_103_644_52,1.61,7.987521,21.012562,PBDB-T-SF,1
75,76_644_103_644_76,1.63,7.905524,20.984753,PBDB-T-SF,1
63,62_149_103_149_62,1.94,6.935058,20.967472,PBDB-T-SF,1
76,55_570_103_570_55,1.62,7.90006,20.934679,PBDB-T-SF,1
73,88_174_103_174_88,1.34,8.715512,20.866156,PBDB-T-SF,1
70,76_174_103_174_76,1.35,8.667988,20.843265,PBDB-T-SF,1
91,69_174_103_174_69,1.48,8.265372,20.842014,PBDB-T-SF,1
59,85_644_103_644_85,1.59,7.884737,20.785929,PBDB-T-SF,1
98,18_485_103_485_18,1.22,8.978613,20.717847,PBDB-T-SF,1
80,62_644_59_644_62,1.6,7.796374,20.706804,PBDB-T-SF,1
87,87_644_103_644_87,1.63,7.699461,20.701004,PBDB-T-SF,1
96,52_239_103_239_52,1.85,7.019155,20.700323,PBDB-T-SF,1
92,84_174_103_174_84,1.31,8.561528,20.526471,PBDB-T-SF,1
93,52_485_59_485_52,1.2,8.874576,20.489488,PBDB-T-SF,1
57,90_149_103_149_90,1.76,7.135415,20.477464,PBDB-T-SF,1
99,69_485_169_485_69,1.08,9.174287,20.39159,PBDB-T-SF,1
75,76_485_103_485_76,1.22,8.719362,20.360858,PBDB-T-SF,1
94,90_561_103_561_90,1.47,7.900105,20.296491,PBDB-T-SF,1
52,62_633_103_633_62,1.63,7.385195,20.26826,PBDB-T-SF,1
97,55_805_103_805_55,1.73,7.038937,20.216963,PBDB-T-SF,1
52,90_633_103_633_90,1.58,7.49265,20.203475,PBDB-T-SF,1
55,88_485_103_485_88,1.16,8.785148,20.196145,PBDB-T-SF,1
72,45_644_103_644_45,1.24,8.528035,20.182501,PBDB-T-SF,1
74,24_485_103_485_24,1.4,8.028347,20.17523,PBDB-T-SF,1
88,90_174_49_174_90,1.07,9.043057,20.168336,PBDB-T-SF,1
74,62_83_103_83_62,1.52,7.650054,20.164922,PBDB-T-SF,1
50,0_633_103_633_0,1.64,7.248246,20.122231,PBDB-T-SF,1
49,55_633_103_633_55,1.6,7.344369,20.084393,PBDB-T-SF,1
74,90_542_103_542_90,1.32,8.198987,20.069801,PBDB-T-SF,1
94,69_445_103_445_69,1.33,8.165319,20.065991,PBDB-T-SF,1
76,43_174_103_174_43,1.32,8.192844,20.061342,PBDB-T-SF,1
65,0_174_103_174_0,1.28,8.314587,20.058783,PBDB-T-SF,1
56,88_149_103_149_88,1.91,6.360663,20.04888,PBDB-T-SF,1
45,16_485_103_485_16,1.29,8.245947,20.006816,PBDB-T-SF,1
