index,SMILES,frequency
0,C1=c2c(nc3C(=O)C=CC(=O)c3n2)=C(S1),0
1,C1=CC=C(C2C1N=C(C(=N2)F)F),0
2,C1=NN=C(C2C1=NSN=2),1
3,C1=C([N+](=O)[O-])C(C)=C(S1),5
4,C1C2=NSN=C2C(C3C1=NSN=3),1
5,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),48
6,C1=C(C#N)c2c(S1)sc3c2C(C#N)=C(S3),1
7,C1=CN=C(C2C1=NSN=2),1
8,C1=CC=C(C2=NC=CN=C12),1
9,C1=CC=C(c2c1nsn2),0
10,C1=CC(F)=C(c2c1nsn2),0
11,C1=C(F)C(F)=C(C(=C1F)F),0
12,C1=NC=CC(=N1)C=C,1
13,C1=C(F)C(F)=C(c2c1nn(n2)C),3
14,C1=C(F)C(F)=C(S1),0
15,C1=CN=C(C=N1),0
16,C1=CC=C(S1),0
17,C1=NC(=NC=N1),0
18,C1=C(C(=O)O)C(=NO1),0
19,C1=CC(=C(C#N)C#N)C=C(O1),0
20,C1=NN=C(C2C1=NON=2),2
21,C1=COC=C1C(=O)C2=CC=C(S2),1
22,C1=CC=C(C2C1=NC(=C(N=2)C)C),0
23,C1=C2C(N=CC=N2)=C(c3c1nsn3),0
24,C1=CC=C2C(=C1)OC(=N2),3
25,C1=C(C2=CC(=CC=C2S1)C#N),1
26,C1=C(OC)C(OC)=C(C2C1=NON=2),2
27,C1=C(C(=O)O)C(=CS1),2
28,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),3
29,C1=NC=C(N=N1),0
30,C1=NC2=C(S1)N=C(S2),0
31,C1=C2C(=O)N(C)C(=O)C2=C(S1),1
32,C1=CN=C(N=C1),1
33,C(\c1c(c(c(c(c1F)F)F)F)F)=C(/c2c(c(c(c(c2F)F)F)F)F),1
34,C1=C2C(=O)c3c(c(sc3C(F)(F)F)C(F)(F)F)C(=O)C2=C(S1),1
35,c1(C)nnc(c2c1non2)(C),0
36,C=C,2
37,C1=CC(F)=C(C=C1F),0
38,C1=NN=C(c2c1nsn2),0
39,C1=CC=C(c2c1non2),0
40,C1=CC=C(c2c1n[se]n2),3
41,C1=C(C#N)SC(=C1C#N),0
42,C1=C(F)C(F)=C(C2C1=NSN=2),0
43,c1sc(c2c1cc(C)c(C)c2)C=C,0
44,C1=[S]c2cscc2[S]=C1C=C,5
45,c1c2c(OCC)c3c(c(c2sc1)OCC)cc(s3),0
46,c1sc(c2c1C(=O)CC2=O)C=C,2
47,c1sc(c2c1CC[C@@H](C=O)C2)C=C,0
48,c1sc(c2c1[C@H](C)CC[C@H]2C=C),1
49,c(s1)cc(c(=C(CN)(CN))2)c1c(s3)c2cc3C=C,1
50,c1cc(SC)sc1C=C,1
51,c1scc2c1c(ccc2OC)C=C,1
52,c1oc2c(C(=O)N)c(oc2c1),1
53,c(s1)c2c(=O)n(C)c(=O)c2c1C=C,1
54,c1[nH]c(cc1)C#CC=C,0
55,c1sc(c2c1cc(C(=O)OC)s2),6
56,c1sc(c2c1sc(=O)c(=O)s2),0
57,c1sc(c(c1C#N)C(F)(F)F)C=C,4
58,c1c(c2c(s1)c1c(n2CC)CCS1),1
59,c1[nH]c2cc([nH]c2c1)C=C,183
60,c1sc(c(c1OCC)ON(=O)=O)C=C,2
61,c(s1)c2scnc2c1C=C,2
62,c1oc2c(n1)cc1c(c2)oc(n1)C=C,3
63,c1sc(CC)c2c1nc(s2),1
64,c1oc(c(c1C(F)(F)F)OC)C=C,17
65,c1c2n(CC)c3c(c2ccc1)cccc3C=C,0
66,C1=CC=C(C1=S),2
67,C1=C(Oc2c(csc2)O1),0
68,c1oc(cc1C),2
69,N1c2cscc2N(CC(=O)C1)C=C,2
70,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1)C=C,3
71,c1sc(c(c1C#N)C(F)(F)F),1
72,c1oc(c(c1F)F)C=C,2
73,c1cc2c(C(=O)N(C2=O)CC)cc1,0
74,c1c2cscc2c(N)c(c1),0
75,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1C=C,12
76,c1sc(c(c1SCC)SCC)C=CC=C,0
77,c1cc(cnc1)C=C,1
78,N1C(=O)C=C(C1=O),1
79,c1sc(c2c1ocn2)C=C,0
80,c(oc1c(F)s2)csc1c2,0
81,c1sc(c2c1[C@H](S)CCC2)C=C,3
82,c1sc(c2c1c(F)ccc2F)C=C,0
83,c1sc2c(c1)sc1cc(sc21)C=C,2
84,C(=C)C#CC=C,0
85,c1sc2c(c1)C(=S)c1c2oc(c1),0
86,c1c(OC)c(cc(c1)OC),0
87,c1oc2CCc2c1C=C,1
88,c1sc2nc(sc2c1),2
89,c1sc(c2c1cc(N(=O)=O)c(N(=O)=O)c2),0
90,c1occc1S,3
91,C1=CC=C(C1=O)C=C,2
92,c1sc(c2c1cc(OC)cc2)C=C,1
93,c1sc(c(c1C=C)OC)C=C,0
94,c1sc(c2c1C[C@H](C(=O)O)[C@@H](O)C2)C=C,1
95,c1sc(c2c1cc(S)c(O)c2)C=C,12
96,c1sc(c2c1c(C(=O)O)ccc2O),4
97,c1sc(c2c1C(=O)SC2=O)C=C,2
98,N1[C@@H]2C[C@@H]3NSN[C@@H]3C[C@@H]2N(S1)C=C,2
99,c1sc(c(c1)C#N)C=C,1
100,c1sc(c2c1[C@H](C#N)CC[C@H]2OC)C=C,2
101,c1cccc2c1N(C)C(=O)C2C1C(=O)N(C)c2cc(ccc12)C=C,1
102,C1SC[C@](C1)(C(=O)N)NC=C,1
103,c1cc2c(C(CN)CN)c3cC(ccc3c2cc1)C=C,287
104,c1scc(C)c1C=CC=C,12
105,c1oc(cc1C(=O)O)C=C,1
106,c1sc(c2c1SCCCS2)C=C,2
107,C1=CC(C#N)=C/C/1=C/1\C(=CC(=C1)C#N),1
108,c1sc(cc1)C=C,0
109,c1sc(c2c1scn2)C=C,2
110,c1[nH]cnc1,0
111,c1c2c(ncc(CC)n2)c(s1),0
112,c1scc2c1c(c(cc2)O)C=C,2
113,C1=C2C(C(=O)N1)=C(OC2=O),0
114,c1scc2c1nc(c(NC)n2)N(C)C=C,0
115,c1c(C(=O)C)scc1C=C,0
116,c1sc(c2c1CC[C@@H](N)C2)C=C,2
117,c(o1)c2c(=O)Nc(=O)c2c1C=C,0
118,c1sc(c2c1c(C#N)ccc2),2
119,Sc1cscc1SC=C,0
120,c1sc(c(c1C#N)C#N)C=C,3
121,c1sc(c2c1C[C@H](C(F)(F)F)CC2)C=C,1
122,c1sc(c2c1cc(SCC)c(SCC)c2)C=C,3
123,c1sc(c2c1CC[C@@H](C=O)C2),3
124,c1sc(c2c1oc(=S)o2)C=C,1
125,c1sc(c2c1sc(=O)s2)C=C,1
126,c1sc(c2c1S(=O)(=O)CCC2),2
127,c1sc(c2c1C[C@H](C#N)[C@@H](C#N)C2),18
128,c1n(C)c(=O)c2c1c(=O)n(C)c2,1
129,c1sc(c2c1[C@H](N)CC[C@H]2N)C=C,5
130,c1sc(C(=O)O)cc1O,2
131,c1sc(c2c1cc(C=O)cc2)C=C,0
132,C1C2CC(=C)O[C@H](C1C=CC2C)CCC,1
133,c1occ(N(=O)=O)c1N,1
134,c1sc(c2c1cc(C=C)cc2),1
135,c1sc(c2c1[nH]c(N(=O)=O)c2),22
136,c1sc(CC)c2c1nc(s2)C=C,3
137,c1c2c(ncs2)c(c2c1ncs2)C=C,2
138,c1sc2cc(C(=O)O)sc2c1,2
139,c1sc2c(c1)C(=O)c1c2sc(c1),3
140,c1sc(c2c1[C@H](C=C)CCC2),1
141,c(s1)c2cc(OC)c(OC)cc2c1,0
142,c1cc(N(=O)=O)c(cc1),1
143,c1sc2c(c1)sc1cc(sc21),1
144,c1c2c(nccc2)c(s1),0
145,c1sc(c2c1nc(OCC)c(OCC)n2),0
146,c1c2ccccc2c(c1=O)C=C,1
