index,SMILES,frequency
0,C1=C2C(OCCO2)=C([Si]1(C)C),0
1,C1=CC=C(S1)C2=CC=C(S2),0
2,C1=CC2=C(C=C1)C3=C(N2C)C=C(C=C3),0
3,C1=C(OC)C=C(S1),0
4,C1=C2C(C(=N1)OC)=C(N=C2OC),0
5,C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4),0
6,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(\C3=CC=CC=C3)/C4=CC=C(C=C4),2
7,C1=C2C(C(=C(S2)C)F)=C(S1),1
8,C1=C2C(SCCS2)=C(S1),1
9,C1=C(OC)C(OC)=C(S1),0
10,C1=C2C(N=C(C(=N2)C)C)=C(C3C1=NSN=3),0
11,C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4),0
12,C=CC=C,1
13,C1=CC2=C(S1)C1=C([Si]2(C)C)C=C(S1),0
14,C1=CC2=C(S1)C3=C([Ge]2(C)C)C=C(S3),0
15,C1=Cc2c(S1)c1c(s2)C=C(S1),0
16,C1=C(OC)C=C(C(=C1)OC),1
17,C1=CC(SC)=C(S1),0
18,C1=CC=C2C(=C1)C(C)(C)C3=CC(=CC=C23),1
19,C1=CC2=C(S1)C=C1C(=C2)SC(=C1),0
20,C1=CC2=C(S1)C1=C(N2C)C=C(S1),0
21,C1=CC(C2=C(C=CC=C2OC)OC)=C(S1),0
22,C1=Cc2c(S1)c(OC)c3c(c2OC)SC(=C3),0
23,C1=CC(=C(C#N)C#N)C=C(S1),1
24,C1=C2C(OCCS2)=C(S1),0
25,C1=CC2=C(S1)C=C(S2),0
26,C1=CC(C)=C(S1),0
27,C1=c2c(nc(c(n2)C)C)=C(S1),0
28,C1=CC=C([Se]1),0
29,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),0
30,C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4),0
31,C1=CC2=C(c3c(N=C2S1)sc(c3F)F),3
32,C1=C2C(N=S=N2)=C(C3=CSC=C13),1
33,C1=C2SC(C)=CC2=C(S1),1
34,C1=C2OCC(C)OC2=C(S1),0
35,C1=C(F)c2c(S1)c3c(s2)C(F)=C(S3),0
36,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(/C3=CC=CC=C3)\C4=CC=C(C=C4),0
37,C1=CC=C(c2c1nn(n2)C),1
38,C1=Cc2c(S1)c(SC)c3c(c2SC)SC(=C3),0
39,C1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3),0
40,C1=C2C(=O)N(C)C(=C2C(=O)N1C),0
41,N1(C2=C(SC3C=CC=CC1=3)C=CC=C2)C,0
42,C1=CC=C([SiH2]1),0
43,C1=C(OC)C=C(C(=C1)OC),1
44,C1=NN=C(C=C1),0
45,C1=CC2=C(S1)C3=C([Si]2(C)C)C=C(S3),0
46,C1=CC(C2=CC(=CC(=C2)OC)OC)=C(S1),0
47,C=C1C=C/C(/S1)=C/2\C=CC(S2)=C,0
48,C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3),0
49,C1=C(F)C(OC)=C(C(=C1OC)F),0
50,C1=CC=C(C2=C[Si]C=C12),0
51,C1=CC=C2C(=C1)N(C)C(=O)/C/2=C\3/C(=O)N(C)C4=C3C=CC(=C4),0
52,C1=C2C(SC(=N2)C)=C(S1),0
53,C1=CC2=C(S1)C1=C(CO2)C=C(S1),0
54,C1=CC2=C(S1)C3=C(C2(C)C)C=C(S3),0
55,C1=C2C(N=CS2)=C(C2=C1N=CS2),0
56,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),0
57,C1=C(OC)C(OC)=C(C2C1=NSN=2),0
58,C1=Cc2c(S1)c3c(s2)C=C(N3C),0
59,C(\C1=CC=C(C=C1)C(=O)O)=C(/C2=CC=C(C=C2)C(=O)O),0
60,C1=C2C(N(C1=O)C)=C(C(=O)N2C),0
61,C1=C(OC)C(OC)=C(C=C1),0
62,C1=C2C(C(=O)N1C)=C(N(C2=O)C),0
63,c1c(OC)c(ccc1),0
64,c(s1)c2ncsc2c1C=C,0
65,c1sc(c2c1C[C@H](F)[C@@H](F)C2)C=C,0
66,C1=C(c2cscc12)C=C,1
67,c1sc(c(c1OC)C#N),0
68,c1oc(c(c1C(F)(F)F)OC),0
69,c1sc(c2c1CC[C@@H](O)C2)C=C,0
70,C1=[S]C(=O)C2=C1C(=O)[S]=C2,1
71,c1occ(C)c1C=C,0
72,c1c(C)c(c2c1ccco2),1
73,c1c2c(sc(C(=O)OCC)c2F)c(s1)C=C,0
74,c1sc(c2c1CC(=O)C(=O)C2)C=C,0
75,c1sc(c(c1)C=O)C=C,0
76,C(=[N])/N=C(\C1=CSC=[S]1),0
77,c1c(OC)cc(c(c1)OCC(CC)CC)C=C,0
78,c1[nH]c(C=C)c(c1),0
79,c1sc(c2c1cc[nH]2),1
80,c1c2c(=O)sc(=O)c2c(c2c1c(=O)sc2=O)C=C,0
81,Nc1cscc1N,0
82,c1sc(c(c1OC)C(F)(F)F),1
83,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1,0
84,N(CC)c1cscc1N(CC)C=C,0
85,c1c2c(ncc(C)n2)c(s1)C=C,1
86,c1sc(c(c1O)C(=O)O)C=C,0
87,c(s1)c2ccs(=N)(=O)c2c1,0
88,c1sc(c2c1sc(=S)o2)C=C,0
