gen,filename,deltaHOMO,summedoscs,PCE,donor
1,62_543_64_543_62,0.850000,6.502256,15.733552,PBDB-T-SF,
1,204_275_104_275_204,0.370000,6.542922,13.747150,PBDB-T-SF,
1,12_377_150_377_12,0.790000,4.887431,13.254639,PBDB-T-SF,
1,125_179_122_179_125,0.750000,4.967376,13.194523,PBDB-T-SF,
1,293_713_59_713_293,0.610000,5.344191,13.117697,PBDB-T-SF,
1,111_312_55_312_111,0.720000,4.810556,12.850933,PBDB-T-SF,
1,18_600_44_600_18,0.570000,5.067751,12.566840,PBDB-T-SF,
1,235_563_135_563_235,0.910000,4.005176,12.550374,PBDB-T-SF,
1,179_323_150_323_179,0.510000,5.073112,12.318921,PBDB-T-SF,
1,273_274_127_274_273,0.890000,3.647462,11.972701,PBDB-T-SF,
1,142_31_88_31_142,0.380000,4.522975,11.008233,PBDB-T-SF,
1,7_889_28_889_7,0.630000,3.738860,10.992257,PBDB-T-SF,
1,171_815_3_815_171,0.630000,3.662410,10.886985,PBDB-T-SF,
1,199_127_7_127_199,0.560000,3.803006,10.782736,PBDB-T-SF,
1,126_523_125_523_126,0.240000,4.686535,10.637756,PBDB-T-SF,
1,82_37_78_37_82,0.420000,4.052299,10.530312,PBDB-T-SF,
1,214_557_195_557_214,0.280000,4.455272,10.489506,PBDB-T-SF,
1,174_383_130_383_174,0.290000,4.357856,10.397914,PBDB-T-SF,
1,136_502_97_502_136,0.400000,3.711055,9.975320,PBDB-T-SF,
1,140_764_123_764_140,1.580000,0.000000,9.886097,PBDB-T-SF,
1,237_376_207_376_237,0.260000,3.992985,9.767837,PBDB-T-SF,
1,184_675_68_675_184,0.700000,2.620218,9.749737,PBDB-T-SF,
1,26_714_57_714_26,0.760000,2.261986,9.511751,PBDB-T-SF,
1,174_892_183_892_174,0.600000,2.736353,9.484155,PBDB-T-SF,
1,236_6_160_6_236,0.230000,3.706730,9.246013,PBDB-T-SF,
1,50_203_156_203_50,0.820000,1.735359,9.041886,PBDB-T-SF,
1,90_342_36_342_90,0.250000,3.369896,8.867293,PBDB-T-SF,
1,56_878_32_878_56,0.350000,3.008885,8.795681,PBDB-T-SF,
1,260_257_161_257_260,0.020000,3.586909,8.187471,PBDB-T-SF,
1,283_837_66_837_283,1.090000,0.000000,7.801147,PBDB-T-SF,
1,31_82_98_82_31,0.570000,1.452085,7.588067,PBDB-T-SF,
1,184_122_69_122_184,0.220000,2.441469,7.461200,PBDB-T-SF,
2,12_312_59_312_12,1.000000,6.768575,16.738524,PBDB-T-SF,
2,62_543_64_543_62,0.850000,6.502256,15.733552,PBDB-T-SF,
2,12_390_3_390_12,0.720000,6.277647,14.871116,PBDB-T-SF,
2,204_275_104_275_204,0.370000,6.542922,13.747150,PBDB-T-SF,
2,12_377_150_377_12,0.790000,4.887431,13.254639,PBDB-T-SF,
2,125_179_122_179_125,0.750000,4.967376,13.194523,PBDB-T-SF,
2,111_275_55_275_111,0.640000,5.275670,13.150995,PBDB-T-SF,
2,293_713_59_713_293,0.610000,5.344191,13.117697,PBDB-T-SF,
2,111_312_55_312_111,0.720000,4.810556,12.850933,PBDB-T-SF,
2,18_600_44_600_18,0.570000,5.067751,12.566840,PBDB-T-SF,
2,235_563_135_563_235,0.910000,4.005176,12.550374,PBDB-T-SF,
