gen,min_PCE, max_PCE, med_PCE, min_deltaHOMO,max_deltaHOMO,med_deltaHOMO,min_summedoscs,max_summedoscs,med_summedoscs
1,7.461200,15.733552,10.530312,0.220000,0.850000,0.420000,2.441469,6.502256,4.052299
2,7.987108,16.738524,11.529426,0.160000,1.000000,0.320000,3.008795,6.768575,5.086877
3,8.524497,17.634702,12.850933,1.260000,1.540000,0.720000,0.000000,5.750767,4.810556
4,8.311747,17.634702,13.747150,1.210000,1.540000,0.370000,0.000000,5.750767,6.542922
5,10.826139,18.273183,15.413191,0.240000,0.960000,0.730000,4.823343,8.006672,6.640410
6,8.430004,18.862270,15.673138,0.110000,1.330000,0.650000,3.484936,7.291157,7.076392
7,12.772443,18.862270,15.990389,0.830000,1.330000,0.900000,4.413651,7.291157,6.534272
8,12.702834,18.862270,16.759574,0.300000,1.330000,0.920000,6.000826,7.291157,7.031066
9,12.601358,19.179257,16.942057,0.480000,0.730000,0.450000,5.370923,9.375389,8.615912
10,9.107950,19.179257,17.344643,0.130000,0.730000,0.750000,3.915471,9.375389,7.981261
11,13.309255,19.517014,17.634702,0.440000,0.840000,1.540000,6.008612,9.280768,5.750767
12,12.700969,19.517014,17.989581,0.140000,0.840000,0.810000,6.493880,9.280768,8.264223
13,10.250473,19.517014,18.094732,0.060000,0.840000,0.610000,4.961493,9.280768,8.958595
14,12.506384,19.517014,18.151733,0.610000,0.840000,0.690000,4.900245,9.280768,8.752786
15,13.483876,19.743476,18.288970,0.500000,1.620000,0.740000,5.950022,7.034988,8.697948
16,13.131513,19.743476,18.516157,0.630000,1.620000,0.670000,5.292423,7.034988,9.079238
17,12.958489,19.743476,18.644886,0.390000,1.620000,0.800000,5.908382,7.034988,8.771017
18,11.603091,19.743476,18.644886,0.930000,1.620000,0.800000,3.255443,7.034988,8.771017
19,15.251916,19.743476,18.689222,0.950000,1.620000,0.740000,5.843478,7.034988,8.988617
20,12.732913,19.941569,18.758509,0.190000,0.610000,0.640000,6.362576,10.299799,9.347939
21,12.311104,19.941569,18.819707,0.740000,0.610000,1.350000,4.356723,10.299799,7.198446
22,13.235278,19.941569,18.827794,0.780000,0.610000,0.610000,4.904271,10.299799,9.490957
23,13.677729,20.967472,18.866220,0.520000,1.940000,0.680000,6.028999,6.935058,9.302559
24,10.252093,20.967472,18.867875,0.520000,1.940000,0.710000,3.541246,6.935058,9.211059
25,10.458668,20.967472,18.889908,0.180000,1.940000,0.610000,4.741882,6.935058,9.536065
26,8.652275,20.967472,19.164091,0.250000,1.940000,0.810000,3.213746,6.935058,9.117171
27,15.607389,20.967472,19.179257,0.590000,1.940000,0.730000,7.214047,6.935058,9.375389
28,11.257299,20.967472,19.241373,0.440000,1.940000,1.380000,4.518448,6.935058,7.411966
29,14.638623,20.967472,19.455655,0.180000,1.940000,1.170000,7.777434,6.935058,8.216491
30,12.934857,20.967472,19.517014,0.290000,1.940000,0.840000,6.200226,6.935058,9.280768
31,13.228413,20.967472,19.517014,0.920000,1.940000,0.840000,4.466679,6.935058,9.280768
32,11.892076,20.967472,19.517014,0.940000,1.940000,0.840000,3.434408,6.935058,9.280768
33,11.942107,20.967472,19.517014,0.600000,1.940000,0.840000,4.521358,6.935058,9.280768
34,12.823898,20.967472,19.517014,0.470000,1.940000,0.840000,5.563436,6.935058,9.280768
35,8.439397,20.967472,19.664179,1.240000,1.940000,1.360000,0.000000,6.935058,7.780815
36,11.865018,20.967472,19.664179,0.360000,1.940000,1.360000,5.206987,6.935058,7.780815
37,12.724752,22.141827,19.714061,0.570000,1.220000,1.790000,5.182430,10.012731,6.488319
38,10.466665,22.141827,19.714061,0.540000,1.220000,1.790000,3.635271,10.012731,6.488319
39,14.387557,22.882837,19.743476,0.240000,1.570000,1.620000,7.409702,9.469347,7.034988
40,14.061245,22.882837,19.743476,0.130000,1.570000,1.620000,7.512635,9.469347,7.034988
41,11.846964,22.882837,19.941569,0.330000,1.570000,0.610000,5.286578,9.469347,10.299799
42,13.311087,22.882837,19.941569,0.410000,1.570000,0.610000,6.102644,9.469347,10.299799
43,10.098847,22.882837,19.953763,1.630000,1.570000,1.210000,0.000000,9.469347,8.454624
44,9.205297,22.882837,19.947291,1.420000,1.570000,1.690000,0.000000,9.469347,6.966699
45,12.617299,22.882837,19.953763,0.330000,1.570000,1.210000,5.846008,9.469347,8.454624
46,15.050534,22.882837,19.998160,1.130000,1.570000,1.670000,5.141022,9.469347,7.065442
47,12.333270,22.882837,20.058783,0.240000,1.570000,1.280000,5.917846,9.469347,8.314587
48,11.487053,22.882837,20.122231,0.060000,1.570000,1.640000,5.859518,9.469347,7.248246
49,4.694997,22.882837,20.122231,0.360000,1.570000,1.640000,0.000000,9.469347,7.248246
50,10.880237,22.882837,20.203475,0.180000,1.570000,1.580000,5.048032,9.469347,7.492650
51,13.174795,22.882837,20.268260,0.700000,1.570000,1.630000,5.107552,9.469347,7.385195
52,12.904070,22.882837,20.477464,0.090000,1.570000,1.760000,6.795877,9.469347,7.135415
53,5.333247,22.882837,20.477464,0.510000,1.570000,1.760000,0.000000,9.469347,7.135415
54,12.781565,22.882837,20.843265,0.390000,1.570000,1.350000,5.779897,9.469347,8.667988
55,11.897867,22.882837,20.843265,0.230000,1.570000,1.350000,5.632550,9.469347,8.667988
56,14.669600,22.882837,20.843265,0.130000,1.570000,1.350000,7.954432,9.469347,8.667988
57,13.291313,22.882837,20.967472,0.940000,1.570000,1.940000,4.450556,9.469347,6.935058
58,14.634596,22.882837,20.967472,1.720000,1.570000,1.940000,3.015831,9.469347,6.935058
59,13.562187,22.882837,20.984753,0.800000,1.570000,1.630000,5.079877,9.469347,7.905524
