gen,filename,deltaHOMO,summedoscs,PCE,donor
1,764_110_764_110_764_01010,0.900000,5.651692,14.775076,PBDB-T-SF,
1,260_88_88_6_422_13370,1.620000,3.081919,14.300099,PBDB-T-SF,
1,302_302_130_302_302_00100,0.240000,6.553244,13.208214,PBDB-T-SF,
1,119_57_119_183_555_01032,0.700000,4.980545,12.999908,PBDB-T-SF,
1,154_580_834_102_725_10234,0.840000,4.432867,12.841454,PBDB-T-SF,
1,38_30_114_114_30_13553,0.880000,4.254962,12.766679,PBDB-T-SF,
1,217_132_217_217_133_01003,0.880000,4.005897,12.423716,PBDB-T-SF,
1,16_261_156_261_16_10301,1.010000,3.050163,11.660821,PBDB-T-SF,
1,15_495_495_15_1_10013,0.630000,4.132292,11.534013,PBDB-T-SF,
1,200_196_223_223_223_13000,0.710000,3.821077,11.445870,PBDB-T-SF,
1,723_198_241_198_723_01210,0.660000,3.796245,11.198925,PBDB-T-SF,
1,798_147_221_147_798_02120,0.470000,4.082832,10.785106,PBDB-T-SF,
1,118_265_495_265_118_10201,0.650000,3.221287,10.364659,PBDB-T-SF,
1,603_589_155_533_120_02143,0.640000,3.206648,10.301951,PBDB-T-SF,
1,120_120_214_120_120_11311,0.500000,3.616513,10.270635,PBDB-T-SF,
1,152_35_89_194_630_02134,0.580000,3.361040,10.259248,PBDB-T-SF,
1,196_55_137_319_206_10325,0.630000,3.135379,10.161263,PBDB-T-SF,
1,206_757_49_17_757_10320,0.740000,2.760613,10.113260,PBDB-T-SF,
1,75_189_75_189_75_01010,0.800000,2.567042,10.102013,PBDB-T-SF,
1,317_403_317_403_317_02020,1.030000,1.801045,10.025885,PBDB-T-SF,
1,140_74_48_49_427_13052,0.580000,2.821407,9.516173,PBDB-T-SF,
1,121_121_214_121_121_11311,0.740000,2.291181,9.466853,PBDB-T-SF,
1,223_129_223_129_223_01010,0.220000,3.691362,9.182302,PBDB-T-SF,
1,241_722_133_172_458_10352,0.160000,3.832648,9.121552,PBDB-T-SF,
1,724_165_203_165_724_01310,0.050000,3.675785,8.437502,PBDB-T-SF,
1,75_875_62_9_173_10352,0.290000,2.928001,8.429004,PBDB-T-SF,
1,183_124_183_124_183_13131,0.410000,2.012651,7.679167,PBDB-T-SF,
1,102_102_267_102_102_11011,0.350000,2.153866,7.618319,PBDB-T-SF,
1,161_109_5_161_913_13510,0.140000,2.341073,6.982554,PBDB-T-SF,
1,276_65_770_65_560_13032,0.110000,1.935161,6.295964,PBDB-T-SF,
1,89_162_89_162_89_02020,0.150000,0.991696,5.167011,PBDB-T-SF,
2,764_110_764_110_764_01010,0.900000,5.651692,14.775076,PBDB-T-SF,
2,260_88_88_6_422_13370,1.620000,3.081919,14.300099,PBDB-T-SF,
2,302_302_130_302_302_00100,0.240000,6.553244,13.208214,PBDB-T-SF,
2,119_57_119_183_555_01032,0.700000,4.980545,12.999908,PBDB-T-SF,
2,154_580_834_102_725_10234,0.840000,4.432867,12.841454,PBDB-T-SF,
2,580_834_102_834_580_02120,0.640000,5.039627,12.825962,PBDB-T-SF,
2,38_30_114_114_30_13553,0.880000,4.254962,12.766679,PBDB-T-SF,
2,217_30_217_217_4_01003,0.920000,4.004261,12.591664,PBDB-T-SF,
2,217_30_217_217_38_01003,0.850000,4.177710,12.532654,PBDB-T-SF,
2,723_11_723_57_241_01032,0.770000,4.364048,12.448841,PBDB-T-SF,
2,217_132_217_217_133_01003,0.880000,4.005897,12.423716,PBDB-T-SF,
2,764_214_764_214_764_01010,0.550000,4.977559,12.357545,PBDB-T-SF,
2,120_495_495_120_214_10013,0.660000,4.436974,12.081209,PBDB-T-SF,
2,723_30_241_30_723_01210,0.560000,4.652186,11.952057,PBDB-T-SF,
2,200_223_495_223_200_10201,0.540000,4.574162,11.759518,PBDB-T-SF,
2,16_261_156_261_16_10301,1.010000,3.050163,11.660821,PBDB-T-SF,
2,130_196_223_223_223_13000,0.800000,3.624325,11.557892,PBDB-T-SF,
2,15_495_495_15_1_10013,0.630000,4.132292,11.534013,PBDB-T-SF,
2,255_255_102_255_255_00100,0.750000,3.709314,11.462171,PBDB-T-SF,
2,200_196_223_223_223_13000,0.710000,3.821077,11.445870,PBDB-T-SF,
2,723_198_241_198_723_01210,0.660000,3.796245,11.198925,PBDB-T-SF,
2,798_147_221_147_798_02120,0.470000,4.082832,10.785106,PBDB-T-SF,
2,723_214_241_214_723_01210,0.560000,3.689734,10.626760,PBDB-T-SF,
2,118_265_495_265_118_10201,0.650000,3.221287,10.364659,PBDB-T-SF,
2,603_589_155_533_120_02143,0.640000,3.206648,10.301951,PBDB-T-SF,
2,120_120_214_120_120_11311,0.500000,3.616513,10.270635,PBDB-T-SF,
2,152_35_89_194_630_02134,0.580000,3.361040,10.259248,PBDB-T-SF,
2,603_155_603_155_603_01010,0.500000,3.220904,9.725882,PBDB-T-SF,
2,16_156_261_261_261_13000,0.450000,3.095502,9.340453,PBDB-T-SF,
2,603_155_589_155_603_01210,0.360000,3.021452,8.855536,PBDB-T-SF,
2,221_137_101_101_798_13550,0.290000,3.148170,8.732177,PBDB-T-SF,
3,764_110_764_110_764_01010,0.900000,5.651692,14.775076,PBDB-T-SF,
3,260_88_88_6_422_13370,1.620000,3.081919,14.300099,PBDB-T-SF,
3,302_302_130_302_302_00100,0.240000,6.553244,13.208214,PBDB-T-SF,
3,119_57_119_183_555_01032,0.700000,4.980545,12.999908,PBDB-T-SF,
3,154_580_834_102_725_10234,0.840000,4.432867,12.841454,PBDB-T-SF,
3,580_834_102_834_580_02120,0.640000,5.039627,12.825962,PBDB-T-SF,
3,38_30_114_114_30_13553,0.880000,4.254962,12.766679,PBDB-T-SF,
3,217_30_217_217_4_01003,0.920000,4.004261,12.591664,PBDB-T-SF,
3,217_30_217_217_38_01003,0.850000,4.177710,12.532654,PBDB-T-SF,
3,38_30_30_114_422_13370,0.770000,4.383453,12.475562,PBDB-T-SF,
3,723_11_723_57_241_01032,0.770000,4.364048,12.448841,PBDB-T-SF,
3,217_132_217_217_133_01003,0.880000,4.005897,12.423716,PBDB-T-SF,
3,764_214_764_214_764_01010,0.550000,4.977559,12.357545,PBDB-T-SF,
3,223_30_223_223_200_01003,0.470000,5.051348,12.118752,PBDB-T-SF,
3,120_495_495_120_214_10013,0.660000,4.436974,12.081209,PBDB-T-SF,
3,723_30_241_30_723_01210,0.560000,4.652186,11.952057,PBDB-T-SF,
3,110_30_114_114_30_13553,0.770000,3.929387,11.850312,PBDB-T-SF,
3,200_223_495_223_200_10201,0.540000,4.574162,11.759518,PBDB-T-SF,
3,16_261_261_16_156_10013,0.870000,3.513979,11.703795,PBDB-T-SF,
3,16_261_156_261_16_10301,1.010000,3.050163,11.660821,PBDB-T-SF,
3,223_110_223_110_223_01010,0.220000,5.401591,11.537288,PBDB-T-SF,
3,261_156_261_261_16_01003,0.740000,3.589969,11.255284,PBDB-T-SF,
3,260_261_88_261_260_10301,0.280000,4.856132,11.041490,PBDB-T-SF,
3,30_580_739_102_217_10234,0.400000,4.316935,10.809616,PBDB-T-SF,
3,580_580_102_580_580_00100,0.400000,4.181542,10.623180,PBDB-T-SF,
3,302_130_241_130_302_01210,0.260000,4.287445,10.173308,PBDB-T-SF,
3,261_156_261_156_261_01010,0.600000,3.208867,10.134807,PBDB-T-SF,
3,120_30_0_0_30_13553,0.610000,2.774111,9.578697,PBDB-T-SF,
3,109_11_109_11_109_01010,0.240000,3.144872,8.514886,PBDB-T-SF,
3,214_88_678_88_214_13031,0.630000,1.387725,7.754744,PBDB-T-SF,
3,261_690_363_156_261_02410,0.490000,1.300481,7.038909,PBDB-T-SF,
4,764_110_764_110_764_01010,0.900000,5.651692,14.775076,PBDB-T-SF,
4,764_764_110_764_764_00100,0.810000,5.899047,14.732735,PBDB-T-SF,
4,260_88_88_6_422_13370,1.620000,3.081919,14.300099,PBDB-T-SF,
4,764_214_764_764_132_01003,0.780000,5.174723,13.607690,PBDB-T-SF,
4,260_495_495_121_88_10035,0.700000,5.190281,13.288713,PBDB-T-SF,
4,302_302_130_302_302_00100,0.240000,6.553244,13.208214,PBDB-T-SF,
4,119_57_119_183_555_01032,0.700000,4.980545,12.999908,PBDB-T-SF,
4,154_580_834_102_725_10234,0.840000,4.432867,12.841454,PBDB-T-SF,
4,580_834_102_834_580_02120,0.640000,5.039627,12.825962,PBDB-T-SF,
4,38_30_114_114_30_13553,0.880000,4.254962,12.766679,PBDB-T-SF,
4,580_834_102_454_834_02142,0.680000,4.868846,12.760998,PBDB-T-SF,
4,723_11_723_723_57_01003,0.720000,4.628649,12.600446,PBDB-T-SF,
4,217_30_217_217_4_01003,0.920000,4.004261,12.591664,PBDB-T-SF,
4,217_30_217_217_38_01003,0.850000,4.177710,12.532654,PBDB-T-SF,
4,38_30_30_114_422_13370,0.770000,4.383453,12.475562,PBDB-T-SF,
4,723_11_723_57_241_01032,0.770000,4.364048,12.448841,PBDB-T-SF,
4,217_132_217_217_133_01003,0.880000,4.005897,12.423716,PBDB-T-SF,
4,723_30_723_30_723_01010,0.450000,5.294596,12.368605,PBDB-T-SF,
4,764_214_764_214_764_01010,0.550000,4.977559,12.357545,PBDB-T-SF,
4,217_132_217_132_217_01010,0.810000,4.161735,12.340456,PBDB-T-SF,
4,580_102_102_834_702_01124,0.580000,4.755512,12.179437,PBDB-T-SF,
4,223_30_223_223_200_01003,0.470000,5.051348,12.118752,PBDB-T-SF,
4,120_495_495_120_214_10013,0.660000,4.436974,12.081209,PBDB-T-SF,
4,154_580_580_154_102_10013,0.800000,3.977184,12.043779,PBDB-T-SF,
4,723_30_241_30_723_01210,0.560000,4.652186,11.952057,PBDB-T-SF,
4,110_30_114_114_30_13553,0.770000,3.929387,11.850312,PBDB-T-SF,
4,217_30_217_30_217_01010,0.810000,3.751234,11.775196,PBDB-T-SF,
4,30_118_118_118_30_10001,0.660000,4.194895,11.747867,PBDB-T-SF,
4,217_30_217_11_241_01032,0.870000,3.488229,11.668338,PBDB-T-SF,
4,217_30_241_30_217_01210,0.640000,3.323423,10.462750,PBDB-T-SF,
4,102_88_88_11_580_13370,0.980000,1.712558,9.691289,PBDB-T-SF,
5,764_110_764_110_764_01010,0.900000,5.651692,14.775076,PBDB-T-SF,
5,154_154_580_154_154_11011,1.260000,4.520762,14.749585,PBDB-T-SF,
5,764_764_110_764_764_00100,0.810000,5.899047,14.732735,PBDB-T-SF,
5,214_158_100_158_214_13031,1.260000,4.448856,14.650571,PBDB-T-SF,
5,260_88_88_6_422_13370,1.620000,3.081919,14.300099,PBDB-T-SF,
5,154_580_580_102_260_10035,0.910000,4.860650,13.728362,PBDB-T-SF,
5,764_834_214_834_764_02120,0.470000,6.202473,13.703852,PBDB-T-SF,
5,764_214_764_764_132_01003,0.780000,5.174723,13.607690,PBDB-T-SF,
5,260_495_495_121_88_10035,0.700000,5.190281,13.288713,PBDB-T-SF,
5,302_302_130_302_302_00100,0.240000,6.553244,13.208214,PBDB-T-SF,
5,119_57_119_183_555_01032,0.700000,4.980545,12.999908,PBDB-T-SF,
5,154_580_834_102_725_10234,0.840000,4.432867,12.841454,PBDB-T-SF,
5,580_834_102_834_580_02120,0.640000,5.039627,12.825962,PBDB-T-SF,
5,38_30_114_114_30_13553,0.880000,4.254962,12.766679,PBDB-T-SF,
5,580_834_102_454_834_02142,0.680000,4.868846,12.760998,PBDB-T-SF,
5,723_11_723_723_57_01003,0.720000,4.628649,12.600446,PBDB-T-SF,
5,217_30_217_217_4_01003,0.920000,4.004261,12.591664,PBDB-T-SF,
5,30_580_829_102_217_10234,0.850000,4.191415,12.551525,PBDB-T-SF,
5,217_30_217_217_38_01003,0.850000,4.177710,12.532654,PBDB-T-SF,
5,38_30_30_114_422_13370,0.770000,4.383453,12.475562,PBDB-T-SF,
5,723_11_723_57_241_01032,0.770000,4.364048,12.448841,PBDB-T-SF,
5,110_180_14_400_764_13024,0.940000,3.787360,12.378091,PBDB-T-SF,
5,302_302_811_811_811_00222,0.920000,3.591252,12.022951,PBDB-T-SF,
5,723_11_723_11_723_01010,0.600000,4.213156,11.517712,PBDB-T-SF,
5,110_580_109_102_764_10234,0.440000,4.588084,11.353188,PBDB-T-SF,
5,580_102_580_580_30_01003,0.510000,4.311150,11.269700,PBDB-T-SF,
5,214_495_495_121_29_10035,0.640000,3.849763,11.187520,PBDB-T-SF,
5,580_580_102_580_580_00100,0.400000,4.181542,10.623180,PBDB-T-SF,
5,723_11_723_46_555_01032,0.450000,3.959661,10.530400,PBDB-T-SF,
5,110_116_147_116_110_13531,0.100000,2.423895,6.926400,PBDB-T-SF,
6,764_110_764_110_764_01010,0.900000,5.651692,14.775076,PBDB-T-SF,
6,154_154_580_154_154_11011,1.260000,4.520762,14.749585,PBDB-T-SF,
6,764_764_110_764_764_00100,0.810000,5.899047,14.732735,PBDB-T-SF,
6,214_158_100_158_214_13031,1.260000,4.448856,14.650571,PBDB-T-SF,
6,260_88_88_6_422_13370,1.620000,3.081919,14.300099,PBDB-T-SF,
6,154_102_580_102_154_13031,1.250000,4.001904,13.992569,PBDB-T-SF,
6,102_158_834_158_102_13031,1.080000,4.487107,13.937344,PBDB-T-SF,
6,764_834_30_834_764_02120,0.590000,5.991651,13.924150,PBDB-T-SF,
6,154_580_131_102_725_10234,1.500000,3.104701,13.820870,PBDB-T-SF,
6,28_110_28_28_214_01003,0.310000,6.742952,13.767291,PBDB-T-SF,
6,154_580_580_102_260_10035,0.910000,4.860650,13.728362,PBDB-T-SF,
