gen,min_PCE, max_PCE, med_PCE, min_deltaHOMO,max_deltaHOMO,med_deltaHOMO,min_summedoscs,max_summedoscs,med_summedoscs
1,5.167011,14.775076,10.259248,0.150000,0.900000,0.580000,0.991696,5.651692,3.361040
2,8.732177,14.775076,11.660821,0.290000,0.900000,1.010000,3.148170,5.651692,3.050163
3,7.038909,14.775076,11.952057,0.490000,0.900000,0.560000,1.300481,5.651692,4.652186
4,9.691289,14.775076,12.448841,0.980000,0.900000,0.770000,1.712558,5.651692,4.364048
5,6.926400,14.775076,12.760998,0.100000,0.900000,0.680000,2.423895,5.651692,4.868846
6,10.691171,14.775076,13.208214,0.510000,0.900000,0.240000,3.891012,5.651692,6.553244
7,9.374850,15.419442,13.703852,0.350000,0.820000,0.470000,3.429487,6.366845,6.202473
8,9.073537,15.419442,13.827537,0.760000,0.820000,1.020000,1.943747,6.366845,4.592767
9,4.424491,15.745001,14.136175,0.200000,1.420000,1.050000,0.297963,4.749241,4.724203
10,7.636164,17.145275,14.221876,0.310000,1.590000,1.480000,2.290427,5.240834,3.457719
11,10.027706,17.145275,14.318951,1.270000,1.590000,0.600000,1.060755,5.240834,6.247461
12,9.151330,17.145275,14.644896,0.140000,1.590000,1.300000,3.916073,5.240834,4.321132
13,8.872740,17.145275,14.732735,0.110000,1.590000,0.810000,3.806459,5.240834,5.899047
14,10.595268,17.145275,14.775076,0.620000,1.590000,0.900000,3.481461,5.240834,5.651692
15,9.793580,17.145275,15.074980,0.570000,1.590000,0.730000,3.053764,5.240834,6.394796
16,11.512395,18.633016,15.606411,0.590000,1.820000,0.870000,4.240195,5.610544,6.348122
17,9.502854,18.633016,15.729698,0.410000,1.820000,1.100000,3.337043,5.610544,5.726944
18,10.085364,18.633016,15.815217,0.200000,1.820000,1.330000,4.408981,5.610544,5.078337
19,10.118635,18.633016,16.176491,0.070000,1.820000,1.540000,4.834850,5.610544,4.691790
20,8.964618,18.633016,16.549894,0.260000,1.820000,1.450000,3.409674,5.610544,5.241066
21,7.053845,18.633016,16.682021,0.550000,1.820000,1.070000,1.125925,5.610544,6.511238
22,9.610145,18.633016,16.769664,0.210000,1.820000,1.370000,4.032969,5.610544,5.647871
23,9.708821,18.633016,16.814442,0.300000,1.820000,1.610000,3.826525,5.610544,4.938777
24,11.048037,18.633016,16.862885,0.190000,1.820000,1.510000,5.138991,5.610544,5.282962
25,9.570578,18.633016,16.934809,0.320000,1.820000,1.480000,3.664329,5.610544,5.427896
26,11.584331,18.633016,17.068739,0.300000,1.820000,1.160000,5.188551,5.610544,6.513974
27,12.292611,18.633016,17.145275,0.680000,1.820000,1.590000,4.528696,5.610544,5.240834
28,11.550849,18.633016,17.145275,1.310000,1.820000,1.590000,2.043284,5.610544,5.240834
29,9.233628,18.633016,17.178757,0.210000,1.820000,1.360000,3.759536,5.610544,5.975861
30,11.077814,19.781096,17.207622,0.230000,1.350000,1.180000,5.037013,7.896623,6.553033
31,10.231854,19.781096,17.386244,0.030000,1.350000,1.420000,5.040673,7.896623,5.941139
32,9.968111,19.781096,17.570312,0.320000,1.350000,1.470000,3.953024,7.896623,5.920309
33,10.086581,19.781096,17.827285,0.380000,1.350000,1.440000,3.853656,7.896623,6.199628
34,11.263479,19.781096,17.870046,0.320000,1.350000,1.340000,4.893742,7.896623,6.539687
35,12.170876,19.781096,17.870046,0.350000,1.350000,1.340000,5.460007,7.896623,6.539687
36,13.455919,19.781096,17.928388,1.450000,1.350000,1.330000,2.994171,7.896623,6.612957
37,9.046682,19.781096,17.938132,0.120000,1.350000,1.110000,3.901878,7.896623,7.299844
38,9.038134,19.781096,17.953037,0.090000,1.350000,1.520000,3.988371,7.896623,6.043747
39,13.082555,19.781096,17.953037,0.060000,1.350000,1.520000,7.018198,7.896623,6.043747
40,10.744771,19.781096,17.953037,0.340000,1.350000,1.520000,4.455246,7.896623,6.043747
41,12.731602,19.781096,18.030584,1.150000,1.350000,1.650000,3.395175,7.896623,5.698357
42,7.276173,19.781096,18.030584,0.020000,1.350000,1.650000,2.925110,7.896623,5.698357
43,9.423347,19.781096,18.097611,0.330000,1.350000,1.190000,3.526507,7.896623,7.168456
44,10.384615,19.781096,18.097611,0.330000,1.350000,1.190000,4.224596,7.896623,7.168456
45,10.599484,19.781096,18.097611,0.320000,1.350000,1.190000,4.411538,7.896623,7.168456
46,10.513959,19.781096,18.097611,0.300000,1.350000,1.190000,4.411229,7.896623,7.168456
47,9.888857,19.781096,18.097611,0.210000,1.350000,1.190000,4.235374,7.896623,7.168456
48,10.953555,19.781096,18.134146,0.650000,1.350000,1.300000,3.648953,7.896623,6.855083
49,12.345789,19.781096,18.156743,1.040000,1.350000,1.140000,3.454896,7.896623,7.365902
50,10.139416,19.781096,18.192150,0.400000,1.350000,1.030000,3.830225,7.896623,7.731520
51,9.046682,19.781096,18.333621,0.120000,1.350000,0.760000,3.901878,7.896623,8.668572
52,13.033331,19.781096,18.333621,0.480000,1.350000,0.760000,5.684629,7.896623,8.668572
53,10.109767,19.781096,18.333621,0.650000,1.350000,0.760000,3.036180,7.896623,8.668572
54,10.647734,19.781096,18.333621,0.480000,1.350000,0.760000,3.952170,7.896623,8.668572
55,10.513959,19.781096,18.342115,0.300000,1.350000,1.200000,4.411229,7.896623,7.315119
56,9.974236,19.781096,18.352808,0.260000,1.350000,1.470000,4.142875,7.896623,6.488571
57,10.026499,19.781096,18.355316,0.240000,1.350000,1.020000,4.242631,7.896623,7.880914
58,9.204332,19.781096,18.413465,0.310000,1.350000,1.230000,3.429256,7.896623,7.274233
59,9.120564,19.781096,18.380836,0.570000,1.350000,1.370000,2.565009,7.896623,6.817930
60,10.919671,19.781096,18.413465,0.380000,1.350000,1.230000,4.458660,7.896623,7.274233
61,10.919671,19.781096,18.427639,0.380000,1.350000,1.650000,4.458660,7.896623,5.986705
62,10.596244,19.781096,18.427639,0.520000,1.350000,1.650000,3.791175,7.896623,5.986705
63,10.084831,19.781096,18.452476,0.310000,1.350000,1.230000,4.068689,7.896623,7.302563
64,8.687421,19.781096,18.633016,0.190000,1.350000,1.820000,3.424673,7.896623,5.610544
65,12.699248,19.781096,18.621940,0.290000,1.350000,1.340000,6.029122,7.896623,7.085725
66,10.850183,19.781096,18.621940,0.240000,1.350000,1.340000,4.840804,7.896623,7.085725
67,10.919671,19.781096,18.633016,0.380000,1.350000,1.820000,4.458660,7.896623,5.610544
68,9.359117,19.781096,18.677812,0.190000,1.350000,1.170000,3.912469,7.896623,7.651609
69,12.929280,19.781096,18.677812,0.080000,1.350000,1.170000,6.845086,7.896623,7.651609
70,10.850183,19.781096,18.780586,0.240000,1.350000,1.190000,4.840804,7.896623,7.664444
71,12.124433,19.781096,18.856732,0.360000,1.350000,1.590000,5.395379,7.896623,6.483723
72,11.206988,19.781096,18.856732,0.020000,1.350000,1.590000,5.779733,7.896623,6.483723
73,12.034899,19.781096,18.888645,0.180000,1.350000,1.090000,5.886567,7.896623,8.051924
74,11.484830,19.781096,18.945104,0.450000,1.350000,1.070000,4.652784,7.896623,8.154726
75,13.953818,19.781096,18.966601,0.650000,1.350000,1.280000,5.827793,7.896623,7.521427
76,10.920051,19.781096,18.956232,0.190000,1.350000,1.380000,5.046046,7.896623,7.204892
77,9.122859,19.781096,19.034421,0.080000,1.350000,1.000000,4.080801,7.896623,8.435893
78,12.615435,19.781096,19.095235,0.750000,1.350000,1.380000,4.546833,7.896623,7.305837
79,12.089360,19.781096,19.097236,0.150000,1.350000,1.030000,6.018819,7.896623,8.388809
80,10.272178,20.198438,19.126546,0.350000,1.000000,1.230000,4.081141,9.281221,7.792084
81,10.225215,20.198438,19.129047,0.100000,1.000000,1.010000,4.819549,9.281221,8.473711
82,12.042002,20.198438,19.135916,0.260000,1.000000,1.190000,5.644521,9.281221,7.922490
83,9.340238,20.198438,19.175129,0.120000,1.000000,1.190000,4.115063,9.281221,7.950968
84,13.039745,20.236201,19.185968,1.130000,1.450000,1.140000,3.680754,7.918123,8.113342
85,12.711130,20.236201,19.324638,0.950000,1.450000,1.250000,3.998317,7.918123,7.874140
86,13.357277,20.236201,19.324638,1.170000,1.450000,1.250000,3.787749,7.918123,7.874140
87,8.575747,20.236201,19.351754,0.210000,1.450000,1.290000,3.281772,7.918123,7.770230
88,12.876282,20.236201,19.360603,1.060000,1.450000,1.210000,3.778348,7.918123,8.023861
89,11.907896,20.236201,19.442206,0.420000,1.450000,1.020000,5.052723,7.918123,8.670232
90,10.840054,20.236201,19.442206,0.540000,1.450000,1.020000,3.906433,7.918123,8.670232
91,11.644100,20.236201,19.460719,0.290000,1.450000,1.340000,5.262856,7.918123,7.694860
92,11.228840,20.236201,19.460719,0.350000,1.450000,1.340000,4.775885,7.918123,7.694860
93,14.107181,20.236201,19.460719,1.070000,1.450000,1.340000,4.641347,7.918123,7.694860
94,11.907896,20.236201,19.460719,0.420000,1.450000,1.340000,5.052723,7.918123,7.694860
95,12.887057,20.236201,19.480121,0.990000,1.450000,1.530000,4.002476,7.918123,7.121841
96,12.554001,20.236201,19.499235,0.580000,1.450000,1.300000,5.027527,7.918123,7.846433
97,12.212292,20.236201,19.480121,0.160000,1.450000,1.530000,6.077194,7.918123,7.121841
98,13.735562,20.236201,19.480121,0.810000,1.450000,1.530000,5.174884,7.918123,7.121841
99,14.116993,20.236201,19.480121,1.030000,1.450000,1.530000,4.772074,7.918123,7.121841
100,13.584208,20.236201,19.499235,0.870000,1.450000,1.300000,4.879566,7.918123,7.846433
101,11.859113,20.236201,19.480121,0.920000,1.450000,1.530000,3.472271,7.918123,7.121841
102,12.837624,20.236201,19.480121,0.690000,1.450000,1.530000,4.893593,7.918123,7.121841
103,13.047376,20.236201,19.499235,0.990000,1.450000,1.300000,4.118903,7.918123,7.846433
104,11.960998,20.236201,19.480121,0.940000,1.450000,1.530000,3.484460,7.918123,7.121841
105,11.493435,20.236201,19.480121,0.590000,1.450000,1.530000,4.226426,7.918123,7.121841
106,12.613000,20.236201,19.499235,0.820000,1.450000,1.300000,4.328760,7.918123,7.846433
107,11.738904,20.236201,19.499235,0.430000,1.450000,1.300000,4.899098,7.918123,7.846433
108,11.768954,20.236201,19.499235,0.250000,1.450000,1.300000,5.477129,7.918123,7.846433
109,14.734256,20.236201,19.499235,1.120000,1.450000,1.300000,4.942236,7.918123,7.846433
110,12.781916,20.236201,19.517952,1.110000,1.450000,0.980000,3.555316,7.918123,8.848842
111,12.977539,20.236201,19.517952,0.820000,1.450000,0.980000,4.593495,7.918123,8.848842
112,12.929749,20.236201,19.562767,0.240000,1.450000,1.460000,6.351019,7.918123,7.398163
113,11.019180,20.236201,19.589537,0.240000,1.450000,1.430000,4.963532,7.918123,7.510305
114,12.787226,20.236201,19.589537,0.610000,1.450000,1.430000,5.104197,7.918123,7.510305
115,12.275791,20.236201,19.589537,0.500000,1.450000,1.430000,5.072690,7.918123,7.510305
116,12.737090,20.236201,19.593486,0.390000,1.450000,1.300000,5.747599,7.918123,7.914880
117,11.971984,20.236201,19.593486,0.130000,1.450000,1.300000,5.995380,7.918123,7.914880
118,13.569499,20.236201,19.610816,0.900000,1.450000,1.190000,4.776182,7.918123,8.267370
119,14.558858,20.236201,19.593486,0.450000,1.450000,1.300000,6.885193,7.918123,7.914880
120,14.081600,20.236201,19.610816,0.680000,1.450000,1.190000,5.827889,7.918123,8.267370
121,10.850183,20.236201,19.636997,0.240000,1.450000,1.180000,4.840804,7.918123,8.317284
122,8.873631,20.236201,19.610816,0.050000,1.450000,1.190000,3.992509,7.918123,8.267370
123,15.753652,20.236201,19.636997,0.380000,1.450000,1.180000,7.969176,7.918123,8.317284
124,10.266359,20.236201,19.636997,0.620000,1.450000,1.180000,3.242602,7.918123,8.317284
