index,SMILES,new name,old name,homo,lumo,bandgap,
0,c1sc(c(c1C(F)(F)F)C(F)(F)F),199,0,-7.714808621,-1.538014694,6.176793927,
1,c1cc(N(=O)=O)c(cc1),142,20,-7.794973361,-2.548400633,5.246572729,
2,c1oc(c(c1F)F),696,25,-6.789948066,-0.240630278,6.549317788,
3,c1sc(c(c1N(=O)=O)C#N)C=C,523,29,-7.190145906,-2.877114164,4.313031742,
4,c1c2C(=O)OCc2ccc1C=C,886,36,-6.692041503,-1.60511797,5.086923533,
5,c1c(C(F)(F)F)sc(C#N)c1C=C,755,38,-7.089354936,-2.545380169,4.543974767,
6,c1sc(c2c1c(C#N)ccc2C#N),724,42,-6.662680418,-3.181337449,3.481342969,
7,c1sc(c(c1)C#N)C=C,99,47,-6.572093717,-2.102814203,4.469279515,
8,C1=CC=C(C1=O),177,48,-6.853949244,-2.961224555,3.892724689,duplicate?
9,c1ccc(=O)c1,405,48,-6.853949244,-2.961224555,3.892724689,
10,c1sc(c(c1)C(=O)C(F)(F)F)C=C,425,54,-6.63364587,-2.675831549,3.957814321,
11,C1=C2C(C(=O)O1)=C(OC2=O),285,57,-6.979176038,-3.139241436,3.839934602,
12,c1c(C(F)(F)F)sc(C#N)c1,119,67,-7.671624153,-2.479936788,5.191687365,
13,c1sc(c2c1C(=O)c1ccccc1C2=O),561,70,-7.237901887,-2.779996731,4.457905156,
14,c1sc(c2c1C[C@H](F)[C@@H](F)C2),203,76,-6.631632228,-0.791334289,5.840297939,
15,c1sc2cc(C(=O)O)sc2c1,138,77,-6.596393484,-2.049779213,4.546614271,
16,c1sc(c(c1N(=O)=O)N(=O)=O)C=C,692,79,-7.226391471,-2.898692792,4.327698679,
17,C1=[S]C(=S)C2=C1C=C(S2(=O)=O),220,80,-6.672286037,-2.361376783,4.310909254,
18,N1C(=O)C=C(C1=O)C=C,116,82,-7.252759303,-2.923074193,4.32968511,
19,c1cnc(c2c1nccn2)C=C,536,83,-6.624067463,-2.644048651,3.980018812,
20,C1=C2C(C(=O)O1)=C(OC2=O)C=C,326,88,-6.608039957,-3.245665163,3.362374794,
21,C#CC#C,838,92,-7.300923454,-0.925377571,6.375545883,
22,C1=C/C(/C(=C1)C#N)=C\1/C=C(C=C1C#N),253,99,-7.003856764,-4.176566646,2.827290118,
23,C1=C(N(=O)=O)C=C/C/1=C\1/C=CC(N(=O)=O)=C1,245,109,-7.458613431,-4.592873626,2.865739805,
24,c1c(C(=O)C(F)(F)F)scc1C=C,308,118,-6.755607298,-2.562115171,4.193492127,
25,c1sc(c2c1C[C@H](C#N)[C@@H](C#N)C2),127,123,-6.754328363,-1.016726191,5.737602172,
26,C1=CC=C(S1(=O)=O)C=C,315,125,-6.759607372,-2.709927414,4.049679958,
27,c1nc2c(c(=O)c3c2ncc3)c1C=C,174,127,-6.91871234,-3.982631105,2.936081235,
28,c1cnc(c2c1nccn2),849,146,-7.046551427,-2.552700032,4.493851395,
29,c1oc(cc1C(=O)C(F)(F)F)C=C,542,150,-6.584665377,-2.194244456,4.390420921,
30,c1oc(cc1C#N)C=C,347,151,-6.559903017,-1.6147508,4.945152217,
31,c1sc(c2c1C(=O)NC2=O),160,154,-7.526560259,-1.986403897,5.540156362,
32,c1sc(c(c1)C=O)C=C,75,166,-6.568882774,-2.056609271,4.512273503,
33,c1ccc(cc1),130,169,-6.967148605,-0.253963857,6.713184748,
34,C1=C(N(=O)=O)C=C/C/1=C\1/C=CC(N(=O)=O)=C1C=C,856,174,-6.958631442,-4.488028159,2.470603283,
35,c1sc(c2c1C(=O)CC2=O),852,175,-6.964726792,-2.270028164,4.694698629,
36,c1c2c(=O)sc(=O)c2c(c2c1c(=O)oc2=O),860,177,-8.246682353,-4.053788876,4.192893477,
37,c1sc(c2c1[C@H](C#N)CC[C@H]2OC),175,183,-6.817703679,-0.956697876,5.861005803,
38,c1sc(N(=O)=O)cc1C=C,697,191,-6.847772259,-2.734336027,4.113436232,
39,c1c2C(=O)OCc2ccc1,158,195,-7.453443268,-1.570069706,5.883373562,
40,C1=CC(C#N)=C/C/1=C/1\C(=CC(=C1)C#N)C=C,485,208,-6.693102747,-4.259180411,2.433922336,
41,c1oc(c(c1C#N)C#N)C=C,585,213,-7.110362125,-2.45286146,4.657500665,
42,C1=C2C(C(=O)S1)=C(OC2=O),332,220,-6.784288098,-3.19333767,3.590950428,
43,c1oc(c(c1C#N)C(F)(F)F),699,229,-7.739462136,-1.572681999,6.166780137,
44,c1c2c(=O)n(c(=O)c2cc2c1c(=O)[nH]c2=O)C=C,687,236,-7.034551206,-3.502839963,3.531711243,
45,C1=[S]C(=O)C2=C1C(=O)[S]=C2,70,261,-6.674354102,-3.242753545,3.431600557,
46,c1sc(c2c1C(=O)NC2=O)C=C,301,267,-6.690463242,-2.288994499,4.401468743,
47,c1sc(c2c1S(=O)(=O)CCC2),126,273,-6.99316269,-1.235696207,5.757466483,
48,c1oc(nn1)C=C,545,283,-7.168975448,-1.706915761,5.462059687,
