Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),fund bg,Delta HOMO,delta LUMO,optical bandgap (cm-1),opt bg (nm),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
38_71_71_71_38_10001,-7.86,-7.79,-2.77,-2.65,5.02,0.07,0.12,21499.5,465.127096,0.449027174,-4142.270985,5.89497,3.810151741,0.015212807,0.449027174,2.66550801,21499.5,2.952447322,23813.9,8.70762545
32_15_15_15_32_10001,-7.19,-6.74,-2.3,-2.12,4.44,0.45,0.18,18838.9,530.8165551,0.555136193,-3248.197883,3.62724,5.404555819,0.555136193,0.555136193,2.335646822,18838.9,2.335646822,18838.9,12.52001987
32_63_63_63_32_10001,-6.54,-5.89,-3.02,-2.5,2.87,0.65,0.52,9719.1,1028.901853,0.944114874,-5638.791421,5.64081,9.815183297,0.944114874,0.944114874,1.204974018,9719.1,1.204974018,9719.1,19.4444539
32_63_45_63_32_10201,-6.57,-6.05,-2.95,-2.58,3.1,0.52,0.37,9170,1090.512541,0.325158319,-5745.738134,6.62438,10.23101836,0.325158319,0.325158319,1.1368966,9170,1.1368966,9170,19.46390878
51_4_4_4_51_10001,-6.74,-6.48,-2.72,-2.62,3.76,0.26,0.1,16931,590.6325675,1.78749446,-11510.14245,3.502,11.07220438,1.78749446,1.78749446,2.09910538,16931,2.09910538,16931,19.51592193
32_45_52_45_32_10201,-7.52,-6.83,-3.24,-2.99,3.59,0.69,0.25,12761.4,783.6130832,0.880972775,-5807.477854,11.84463,9.15638049,0.880972775,1.803772155,1.582158372,12761.4,2.343953482,18905.9,18.70748244
32_45_4_45_32_10201,-7.32,-6.69,-3.24,-3.1,3.45,0.63,0.14,12517.9,798.8560382,0.654403099,-7875.881765,9.07575,10.59726141,0.654403099,0.654403099,1.551969242,12517.9,1.551969242,12517.9,20.43627546
82_82_4_82_82_00200,-6.53,-6.28,-1.95,-1.66,4.33,0.25,0.29,21098.2,473.9740831,2.719825383,-6404.417094,0.5001,8.058163589,2.719825383,2.719825383,2.615754836,21098.2,2.615754836,21098.2,15.32303776
45_4_78_4_45_02420,-6.59,-6.49,-3.09,-2.73,3.4,0.1,0.36,13021.3,767.9724759,0.481249591,-10138.17295,4.16843,10.03796346,0.481249591,0.481249591,1.614380774,13021.3,1.614380774,13021.3,17.41097218
51_4_45_4_51_10201,-6.86,-6.6,-3.01,-2.68,3.59,0.26,0.33,12302,812.8759551,0.335319414,-9593.878327,7.37784,11.16926861,0.335319414,1.237443709,1.52520196,12302,2.159384456,17417.2,19.64957938
38_45_4_45_38_10201,-7.41,-6.82,-3.4,-3.29,3.42,0.59,0.11,12385.4,807.402264,0.783513155,-7667.393823,4.96642,10.43724183,0.783513155,0.783513155,1.535541892,12385.4,1.535541892,12385.4,20.0457285
51_48_4_45_51_13021,-7.15,-6.5,-3.05,-2.44,3.45,0.65,0.61,12787.6,782.0075698,0.515664587,-7048.184942,9.38614,9.922216142,0.515664587,2.110134867,1.585406648,12787.6,2.4864189,20055,19.59183813
63_45_63_45_63_02020,-6.08,-5.68,-2.7,-2.62,2.98,0.4,0.08,8064.1,1240.063987,0.178932581,-6497.071387,4.17305,9.078123385,0.178932581,0.178932581,0.999787118,8064.1,0.999787118,8064.1,17.3657724
38_48_45_4_38_13021,-7.01,-6.58,-2.96,-2.78,3.62,0.43,0.18,11881.3,841.658741,0.25835247,-7037.972113,6.47603,9.947893399,0.25835247,1.486279344,1.473043574,11881.3,2.41110105,19447.5,18.69109571
35_45_4_45_35_10201,-7.31,-6.69,-3.14,-3.04,3.55,0.62,0.1,13249.9,754.7226772,0.545898717,-6899.463954,1.07705,7.393712275,0.545898717,0.545898717,1.642722602,13249.9,1.642722602,13249.9,15.9824383
4_4_45_4_4_00200,-6.46,-6.24,-2.76,-1.7,3.48,0.22,1.06,11745.8,851.3681486,0.231332271,-14482.96615,5.95365,11.08355053,0.231332271,0.249458269,1.456244284,11745.8,2.501408082,20175.9,19.36134559
51_6_4_6_49_13035,-7.46,-6.72,-2.92,-2.85,3.8,0.74,0.07,20557.8,486.4333732,0.294567547,-8620.945129,5.09604,7.837754353,0.294567547,0.914209357,2.548756044,20557.8,2.6513123,21385,17.10448425
32_45_45_45_32_10001,-7.49,-6.82,-3.41,-3.21,3.41,0.67,0.2,11156.3,896.3545261,0.675319202,-5959.619151,9.49039,10.35620405,0.675319202,0.675319202,1.383158074,11156.3,1.383158074,11156.3,20.27453947
32_63_18_63_32_10201,-6.56,-6.15,-2.82,-2.56,3.33,0.41,0.26,12450.4,803.1870462,1.005383611,-5561.542522,4.77291,9.763755844,1.005383611,1.005383611,1.543600592,12450.4,1.543600592,12450.4,18.3524383
45_45_4_45_45_00200,-6.81,-6.4,-2.96,-2.91,3.44,0.41,0.05,11376.6,878.9972399,0.378034609,-8734.177258,10.30825,10.52782339,0.378034609,0.378034609,1.410470868,11376.6,1.410470868,11376.6,19.40455931
32_44_64_45_32_13021,-7.47,-7.07,-3.63,-3.17,3.44,0.4,0.46,11996.6,833.5695114,0.147200873,-5091.696526,3.24388,8.307499809,0.147200873,0.526467517,1.487338468,11996.6,1.820906658,14687.1,16.30462374
32_4_45_4_32_10201,-6.88,-6.57,-3.01,-2.7,3.56,0.31,0.31,11973.8,835.1567589,0.333403373,-9792.145616,7.40077,10.72172523,0.333403373,0.670955509,1.484511724,11973.8,2.192437524,17683.8,19.24606214
32_44_45_63_32_13021,-7.08,-6.47,-3.32,-2.78,3.15,0.61,0.54,10102.2,989.8833917,0.425945964,-5742.633324,1.06119,8.237593692,0.425945964,0.700612063,1.252470756,10102.2,1.764632136,14233.2,17.10191302
32_48_63_18_32_13021,-6.92,-5.97,-2.53,-2.46,3.44,0.95,0.07,15353.7,651.308805,1.046019408,-5039.05419,8.4931,8.899298182,1.046019408,1.046019408,1.903551726,15353.7,1.903551726,15353.7,19.4597801
4_45_4_45_4_02020,-6.58,-6.32,-2.83,-2.77,3.49,0.26,0.06,11748.9,851.1435113,0.295799362,-12566.70676,8.33649,11.08680244,0.295799362,0.295799362,1.456628622,11748.9,1.456628622,11748.9,19.53602346
38_45_64_45_38_10201,-7.61,-7.21,-3.73,-3.43,3.48,0.4,0.3,12663.8,789.652395,0.2978188,-4993.249735,5.41169,9.58210667,0.2978188,0.390019592,1.570057924,12663.8,1.78878344,14428,18.05975739
32_4_4_4_32_10001,-6.81,-6.45,-2.73,-2.62,3.72,0.36,0.11,16051.5,622.9947357,0.741896336,-11708.40905,6.28046,10.73442903,0.741896336,0.941467299,1.99006497,16051.5,2.54208592,20504,19.47630528
32_63_18_18_48_10223,-7.01,-6.33,-2.85,-2.31,3.48,0.68,0.54,13586.5,736.0247304,1.107484241,-5493.585649,11.01799,7.794955935,1.107484241,1.857128562,1.68445427,13586.5,2.57866002,20799,16.79025082
51_45_45_45_51_10001,-7.45,-6.79,-3.36,-3.14,3.43,0.66,0.22,11221.7,891.1305774,0.62540664,-5761.344594,13.47948,10.91052333,0.62540664,0.62540664,1.391266366,11221.7,1.391266366,11221.7,20.99528713
38_45_45_45_38_10001,-7.6,-6.95,-3.58,-3.38,3.37,0.65,0.2,11151.9,896.7081843,0.860007585,-5751.126269,4.71364,10.23970411,0.860007585,0.860007585,1.382612562,11151.9,1.382612562,11151.9,20.02901905
