,SMILES,new name,old name
0,C1=c2c(nc3C(=O)C=CC(=O)c3n2)=C(S1),0ac,25a
1,C1=CC=C(C2C1N=C(C(=N2)F)F),1ac,25u
2,C1=NN=C(C2C1=NSN=2),2ac,6a
3,C1=C([N+](=O)[O-])C(C)=C(S1),3ac,8d
4,C1C2=NSN=C2C(C3C1=NSN=3),4ac,18a
5,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),5ac,16a
6,C1=C(C#N)c2c(S1)sc3c2C(C#N)=C(S3),6ac,49u
7,C1=CN=C(C2C1=NSN=2),7ac,17a
8,C1=CC=C(C2=NC=CN=C12),8ac,7a
9,C1=CC=C(c2c1nsn2),9ac,3a
10,C1=CC(F)=C(c2c1nsn2),10ac,26u
11,C1=C(F)C(F)=C(C(=C1F)F),11ac,7u
12,C1=NC=CC(=N1)C=C,12ac,32u
13,C1=C(F)C(F)=C(c2c1nn(n2)C),13ac,51u
14,C1=C(F)C(F)=C(S1),14ac,6u
15,C1=CN=C(C=N1),15ac,57u
16,C1=CC=C(S1),16ac,2u
17,C1=NC(=NC=N1),17ac,33u
18,C1=C(C(=O)O)C(=NO1),18ac,46u
19,C1=CC(=C(C#N)C#N)C=C(O1),19ac,40u
20,C1=NN=C(C2C1=NON=2),20ac,5a
21,C1=COC=C1C(=O)C2=CC=C(S2),21ac,22u
22,C1=CC=C(C2C1=NC(=C(N=2)C)C),22ac,8a
23,C1=C2C(N=CC=N2)=C(c3c1nsn3),23ac,24a
24,C1=CC=C2C(=C1)OC(=N2),24ac,45u
25,C1=C(C2=CC(=CC=C2S1)C#N),25ac,20u
26,C1=C(OC)C(OC)=C(C2C1=NON=2),26ac,13a
27,C1=C(C(=O)O)C(=CS1),27ac,47u
28,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),28ac,15a
29,C1=NC=C(N=N1),29ac,31u
30,C1=NC2=C(S1)N=C(S2),30ac,12a
31,C1=C2C(=O)N(C)C(=O)C2=C(S1),31ac,10a
32,C1=CN=C(N=C1),32ac,21u
33,C(\c1c(c(c(c(c1F)F)F)F)F)=C(/c2c(c(c(c(c2F)F)F)F)F),33ac,29u
34,C1=C2C(=O)c3c(c(sc3C(F)(F)F)C(F)(F)F)C(=O)C2=C(S1),34ac,18u
35,c1(C)nnc(c2c1non2)(C),35ac,27a
36,C=C,36ac,59u
37,C1=CC(F)=C(C=C1F),37ac,5u
38,C1=NN=C(c2c1nsn2),38ac,28a
39,C1=CC=C(c2c1non2),39ac,22a
40,C1=CC=C(c2c1n[se]n2),40ac,23a
41,C1=C(C#N)SC(=C1C#N),41ac,48u
42,C1=C(F)C(F)=C(C2C1=NSN=2),42ac,2a
44,C1=[S]c2cscc2[S]=C1C=C,44,290
55,c1sc(c2c1cc(C(=O)OC)s2),55,1004
59,c1[nH]c2cc([nH]c2c1)C=C,59,381
62,c1oc2c(n1)cc1c(c2)oc(n1)C=C,62,914
64,c1oc(c(c1C(F)(F)F)OC)C=C,64,1018
70,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1)C=C,70,42
75,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1C=C,75,57
95,c1sc(c2c1cc(S)c(O)c2)C=C,95,512
96,c1sc(c2c1c(C(=O)O)ccc2O),96,1010
103,c1cc2c(C(CN)CN)c3cC(ccc3c2cc1)C=C,103,195
104,c1scc(C)c1C=CC=C,104,315
122,c1sc(c2c1cc(SCC)c(SCC)c2)C=C,122,918
123,c1sc(c2c1CC[C@@H](C=O)C2),123,849
127,c1sc(c2c1C[C@H](C#N)[C@@H](C#N)C2),127,127
129,c1sc(c2c1[C@H](N)CC[C@H]2N)C=C,129,554
135,c1sc(c2c1[nH]c(N(=O)=O)c2),135,747
150,c1c(CC)cc(s1)C=C,150,483
161,c1csc2c1c(CC)c(CC)c1c(csc21)C=C,161,123
172,c1sc(c2c1c(C(F)(F)F)ccc2OC)C=C,172,371
186,c1sc2c(c1)C(C)(C)c1c2sc(c1)C=C,186,979
191,c1c(C)Nc(C)c1C=C,191,709
196,c1sc(c2c1sc(=O)c(=O)s2)C=C,196,99
221,c1sc2c(n1)Cc1c2sc(c1)C=C,221,1027
228,c1sc(c(c1)N(=O)=O),228,378
