,SMILES,new name,old name,homo,lumo,bandgap
0,C=C1C(=O)C2=CC(=C(C=C2C1=C(C#N)C#N)C#N)C#N,0atr,10atr,-8.108638997,-4.389141986,3.719497011
2,C1=CC=C(C2C1N=C(C(=N2)F)F),1ac,25u,-6.590298134,-2.097235869,4.493062265
3,C=C1C(=O)C2=CSC=C2C1=C(C#N)C#N,3atr,15atr,-7.356461891,-3.596746453,3.759715438
4,C1=NN=C(C2C1=NSN=2),2ac,6a,-6.865432448,-3.393014813,3.472417635
5,C1=C([N+](=O)[O-])C(C)=C(S1),3ac,8d,-7.16881218,-2.426983433,4.741828747
6,C=C1C(=O)C2=C(C=C(C(=C2)C#N)C(=O)O)C1=C(C#N)C#N,6atr,11atr,-8.077291481,-4.367536146,3.709755335
7,C1=C(ON=C1)C=O,7atr,30utr,-7.775435587,-2.579666514,5.195769073
8,C1=CC=C2C(=C1)S/C(=C\C=C\3/C(=C(C#N)C#N)C4=C(C3=O)C=CC=C4)/N2C,8atr,16utr,-7.568901174,-2.346737058,5.222164116
11,C1=NC=CN1C(=O)N2C=NC=C2,11atr,37utr,-7.173492538,-2.060935881,5.112556657
12,C=C1C(=O)C2=C(C=C(C(=C2)F)F)C1=C(C#N)C#N,12atr,1atr,-7.569336557,-3.760722259,3.808614298
13,C1=CC=C(C(=C1)CO)[N+](=O)[O-],13atr,40utr,-7.497825037,-2.543012778,4.954812259
16,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),5ac,16a,-7.373496218,-4.332515094,3.040981124
17,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=C(C(=C2F)F)F,17atr,21atr,-7.678372576,-3.889840282,3.788532294
18,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC3=C2C=CC=C3,18atr,42utr,-6.919338202,-3.515139509,3.404198693
19,C=C1C(=O)C2=C(SC=C2C1=C(C#N)C#N)Cl,19atr,34atr,-7.289385827,-3.687414788,3.601971039
20,C=C1C(=O)C2=C(C=C(C(=C2)C)C)C1=C(C#N)C#N,20atr,22atr,-7.171968701,-3.388987528,3.782981173
23,C1=NC(=CO1)C=O,23atr,34utr,-7.331046458,-1.919844849,5.411201609
24,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Cl,24atr,29atr,-7.393306107,-3.67389073,3.719415377
26,C1=CN=C(C2C1=NSN=2),7ac,17a,-7.244949635,-2.948271936,4.296677699
27,C=c1c2c(c(=C(C#N)C#N)s1)C=CC=C2,27atr,45utr,-6.631305691,-3.128601785,3.502703906
29,C1=CC=C(C2=NC=CN=C12),8ac,7a,-6.823173167,-2.133290954,4.689882213
31,C1=C(OC2=CC=CC=C2C1=O)C,31atr,25utr,-6.650489718,-1.595947733,5.054541985
32,C1=CC=C(c2c1nsn2),9ac,3a,-6.785594244,-2.500780709,4.284813535
33,C=C(C(=O)OC)C#N,33atr,44utr,-8.196695039,-2.4601269,5.736568139
36,C1=CC=C2C(=C1)C=C(C(=O)N2)C#N,36atr,39utr,-6.739688638,-2.620157055,4.119531583
38,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=CC(=C2)C,38atr,16atr,-7.020755034,-2.118896131,4.901858903
